primary_key,eco_sect,Last_dep,job_dep,job_desc,Type_of_contract,JOB_CATEGORY,Work_condition,EMPLOYER_TYPE,working_hours,Employee_count
299,"NZ","69","69","652a","TTP","O","C","ct_9",867,"tr_1"
301,"JC","73","74","388c","CDI","O","C","ct_9",1820,"tr_3"
307,"DZ","75","93","380a","CDI","O","C","ct_9",1806,"tr_6"
309,"QB","31","31","434d","CDI","O","C","ct_8",1820,"tr_1"
369,"OZ",NA,NA,"524b","CDI","O","C",NA,216,NA
375,"MA","59","59","477b","CDI","O","C","ct_9",1321,"tr_4"
377,"QA","54","54","431f","CDI","O","C","ct_8",1820,"tr_6"
384,"MA","64","64","525d","CDI","O","P","ct_9",1383,"tr_6"
401,"NZ","40","40","676c","TOA","O","C","ct_8",1301,"tr_4"
409,"OZ","68","68","563b","AUT","O","P","ct_2",836,"tr_5"
411,"OZ","37","37","525c","CDI","O","C",NA,372,NA
412,"MC","78","78","653a","CDI","O","C","ct_9",1878,"tr_5"
422,"QB","34","34","434b","CDI","O","C","ct_8",1820,"tr_3"
441,"QB","59","59","684a","CDI","O","C","ct_8",1820,"tr_3"
442,"CJ","80","80","676e","CDI","O","C",NA,147,NA
457,"QB","28","28","434e","CDI","O","C","ct_8",461,"tr_6"
465,"QB","17","17","525d","CDI","O","C",NA,145,NA
481,"SZ","92","92","435b","CDI","O","P","ct_8",1698,"tr_6"
514,"OZ","62","59","524b","CDI","O","C","ct_1",1870,"tr_5"
520,"PZ","68","68","523b","CDI","O","C","ct_1",1820,"tr_6"
523,"QB","49","49","676e","CDD","O","C","ct_8",985,"tr_4"
528,"KZ","57","57","467b","CDI","O","C","ct_9",1820,"tr_6"
544,"CL","25","25","384b","CDI","O","C","ct_9",1628,"tr_5"
565,"GZ","67","67","552a","CDI","O","C","ct_9",593,"tr_0"
568,"GZ","85","85","641a","CDI","O","C","ct_9",1282,"tr_1"
570,"QB","86","86","632k","CDI","O","C","ct_8",531,"tr_4"
572,"JC","69","69","463c","CDI","O","C","ct_9",1754,"tr_3"
575,"QB","69","69","563a","CDI","O","N","ct_8",1378,"tr_3"
591,"QB","55","55","563a","CDI","O","N","ct_7",3000,"tr_1"
593,"IZ","57","57","636d","CDI","O","C","ct_9",428,"tr_1"
602,"CH","81","81","676c","CDI","O","C","ct_9",305,"tr_5"
611,"QA","64","64","525d","CDI","O","C","ct_9",1517,"tr_5"
620,"MC","10","10","526b","CDI","O","C","ct_9",1691,"tr_2"
629,"PZ","89","89","431f","CDI","O","P","ct_8",919,"tr_5"
631,"TZ","80","80","563c","AUT","O","C",NA,347,NA
634,"NZ","37","45","534a","CDI","O","C","ct_9",860,"tr_5"
647,"HZ","63","63","643a","CDI","O","C","ct_9",1830,"tr_2"
656,"CM","84","84","543h","CDI","O","P","ct_9",1820,"tr_1"
663,"CL","44","44","624f","CDI","O","C","ct_9",1586,"tr_6"
672,"CL","13","13","474b","CDI","O","C","ct_9",1880,"tr_6"
682,"QA","42","07","525d","CDI","O","P","ct_3",1490,"tr_6"
684,"PZ","44","44","524b","CDI","O","N",NA,152,NA
700,"RZ","91","75","564b","CDI","O","C","ct_8",1764,"tr_3"
713,"FZ","34","34","632a","CDI","O","C","ct_9",697,"tr_3"
717,"QB","78","78","563b","CDI","O","N","ct_7",1400,"tr_1"
720,"QA","12","12","526a","CDI","O","C","ct_8",1820,"tr_6"
722,"QA","51","51","526b","CDI","O","C","ct_8",2200,"tr_4"
751,"QA","06","06","431f","CDI","O","P","ct_9",1095,"tr_5"
752,"QB","44","44","434f","CDI","O","C","ct_8",1719,"tr_4"
753,"FZ","54","54","676c","CDI","O","C","ct_9",1820,"tr_4"
763,"HZ","12","12","526e","CDI","O","C","ct_9",2200,"tr_1"
768,"CG","16","16","674d","CDI","O","C","ct_9",916,"tr_5"
793,"GZ","62","62","554b","CDI","O","C","ct_6",152,"tr_1"
809,"GZ","14","14","676c","CDI","O","P","ct_9",1603,"tr_1"
810,"NZ","13","13","684a","CDI","O","P","ct_9",1330,"tr_4"
811,"NZ","29","29","684b","CDI","O","P","ct_9",121,"tr_5"
813,"QB","78","78","525d","CDI","O","C","ct_8",1912,"tr_1"
817,"GZ","83","04","526b","CDI","O","P","ct_9",600,"tr_1"
840,"PZ","92","75","525a","CDI","O","P","ct_9",2386,"tr_3"
846,"QB","60","60","526a","CDI","O","C","ct_8",1856,"tr_4"
866,"CA","51","51","691d","CDI","O","C","ct_9",629,"tr_2"
869,"GZ","77","77","637d","CDI","O","C","ct_9",954,"tr_3"
872,"CA","83","83","477a","CDI","O","C","ct_9",2002,"tr_5"
876,"MA","58","58","543b","CDI","O","C","ct_9",648,"tr_1"
886,"IZ","72","72","488a","CDI","O","C","ct_9",823,"tr_2"
898,"TZ","37","37","563c","CDI","O","N","ct_7",1000,"tr_1"
906,"DZ","94","75","485a","CDI","O","C","ct_9",1924,"tr_5"
917,"CH","67","67","653a","CDI","O","C","ct_9",910,"tr_5"
920,"QA","14","14","526a","CDI","O","C","ct_9",1820,"tr_6"
921,"GZ","28","45","374d","CDI","O","C","ct_9",1735,"tr_2"
928,"IZ","13","13","636d","CDI","O","P","ct_9",186,"tr_2"
932,"GZ","75","75","554e","CDI","O","C","ct_9",1235,"tr_1"
943,"NZ","69","69","684a","CDI","O","C","ct_9",1773,"tr_1"
947,"QB","32","32","526d","CDI","O","C","ct_9",1763,"tr_4"
954,"QA","92","75","311c","CDI","O","P","ct_8",1379,"tr_3"
967,"QB","19","19","676e","AUT","X","C","ct_8",1820,"tr_3"
977,"GZ","85","85","542a","CDI","O","C","ct_9",1645,"tr_2"
978,"MA","50","50","425a","CDI","O","P","ct_9",1439,"tr_5"
984,"HZ","13","13","534a","CDI","O","C","ct_9",1708,"tr_2"
989,"MA","06","06","543b","CDI","O","C","ct_9",352,"tr_1"
1014,"CG","67","67","472c","CDI","O","C","ct_9",386,"tr_4"
1028,"QA","76","76","526a","CDI","O","P","ct_9",1615,"tr_6"
1057,"QA","52","52","431f","CDI","O","P","ct_1",647,"tr_2"
1060,"HZ","69","69","641b","CDI","O","N","ct_9",724,"tr_4"
1064,"JC","78","92","461d","CDI","O","C","ct_9",1820,"tr_6"
1071,"GZ","94","75","551a","CDI","O","C","ct_9",1438,"tr_3"
1073,"FZ","45","45","632g","CDI","O","C","ct_9",1479,"tr_1"
1081,"CA","49","49","674c","CDI","O","P","ct_9",1205,"tr_5"
1105,"HZ","95","77","651a","CDI","O","C","ct_9",512,"tr_5"
1115,"CG","38","38","674d","CDI","O","C","ct_9",1329,"tr_5"
1123,"MA","21","21","463c","CDI","O","C","ct_9",376,"tr_0"
1125,"TZ","44","44","563c","CDD","O","C",NA,152,NA
1139,"PZ","75","75","451g","CDI","O","N",NA,281,NA
1148,"NZ","91","91","564a","CDI","O","C","ct_8",1556,"tr_1"
1155,"CK","72","72","622a","CDI","O","C","ct_9",1553,"tr_5"
1169,"FZ","93","91","632f","CDI","O","C","ct_9",1578,"tr_3"
1183,"QB","62","62","525d","CDI","O","P","ct_8",1632,"tr_3"
1211,"HZ","59","59","461d","CDI","O","C","ct_9",1820,"tr_6"
1214,"FZ","31","31","461f","CDI","O","C","ct_9",1785,"tr_2"
1222,"OZ",NA,NA,"425a","AUT","O","C","ct_2",1820,"tr_6"
1223,"QB","52","52","563b","CDI","O","C",NA,957,NA
1230,"QB","13","13","525d","CDI","O","C","ct_8",1820,"tr_2"
1234,"QB","68","68","525d","CDI","O","P","ct_8",679,"tr_6"
1235,"NZ","91","91","676c","CDI","O","C","ct_9",1686,"tr_2"
1243,"HZ","40","40","652a","CDI","O","C","ct_9",1797,"tr_6"
1253,"GZ","42","42","653a","CDI","O","C","ct_9",1799,"tr_1"
1254,"CJ","60","60","477a","CDI","O","C","ct_9",1652,"tr_6"
1259,"JB","29","29","478d","CDI","O","C","ct_9",1713,"tr_3"
1261,"FZ","32","32","632j","CDI","O","C","ct_9",1666,"tr_1"
1264,"OZ",NA,NA,"621f","CDI","O","C",NA,151,NA
1267,"GZ","59","59","542a","CDI","O","C","ct_9",1778,"tr_5"
1282,"QA","13","13","542a","CDI","O","P","ct_9",1384,"tr_1"
1296,"GZ","82","82","554a","CDI","O","P",NA,127,NA
1297,"KZ","13","13","526a","CDI","O","C","ct_8",1813,"tr_2"
1311,"GZ","23","19","543f","CDI","O","C","ct_9",1399,"tr_3"
1318,"KZ","79","79","372d","CDI","O","P","ct_9",1012,"tr_6"
1319,"PZ","95","75","542a","CDI","O","C","ct_8",940,"tr_4"
1322,"NZ","73","73","534a","CDI","O","C","ct_9",2200,"tr_5"
1335,"GZ","62","62","676c","CDI","O","C",NA,152,NA
1339,"QB","01","01","434a","CDI","O","C","ct_8",457,"tr_4"
1340,"QB","67","67","563a","CDI","O","N","ct_7",1075,"tr_0"
1344,"FZ","78","95","643a","CDI","O","C","ct_9",1461,"tr_1"
1354,"OZ","38","38","526a","CDI","O","C","ct_8",1820,"tr_2"
1364,"CI","93","92","622c","CDI","O","C","ct_9",1944,"tr_5"
1368,"KZ","92","75","543h","CDI","O","C","ct_5",1937,"tr_6"
1387,"QB","67","67","526a","CDI","O","C","ct_8",2036,"tr_3"
1390,"NZ","03","03","676e","TTP","O","C","ct_9",287,"tr_1"
1401,"IZ","69","69","561f","CDI","O","P","ct_9",471,"tr_2"
1403,"QB","35","35","526d","CDI","O","C","ct_8",1774,"tr_4"
1409,"FZ","85","85","542a","CDI","O","C",NA,217,NA
1418,"QB","92","92","563b","AUT","O","C","ct_2",2086,"tr_4"
1420,"FZ","81","81","628a","CDI","O","C","ct_9",1673,"tr_2"
1465,"GZ","13","13","543f","CDI","O","C","ct_9",1950,"tr_4"
1476,"GZ","57","57","344d","CDI","O","P","ct_9",1468,"tr_3"
1486,"TZ","87","87","563c","CDI","O","C",NA,539,NA
1497,"QA","13","13","433a","CDI","O","C","ct_9",2200,"tr_4"
1503,"QA","2A","2A","431f","CDI","O","P","ct_9",523,"tr_5"
1505,"OZ","59","62","563b","CDI","O","C","ct_8",607,"tr_6"
1526,"NZ","44","44","691c","CDI","O","C","ct_8",1753,"tr_3"
1529,"HZ","62","62","641b","CDI","O","C","ct_9",770,"tr_3"
1535,"NZ","69","69","684a","CDI","O","P","ct_9",2154,"tr_3"
1537,"GZ","38","38","543b","CDI","O","C","ct_9",889,"tr_1"
1540,"QB","76","76","563a","CDI","O","N","ct_7",2429,"tr_1"
1554,"SZ","14","95","435b","CDI","O","C","ct_8",1671,"tr_3"
1562,"QA","63","63","636d","CDI","O","C","ct_8",1820,"tr_4"
1564,"NZ","74","74","684a","CDI","O","C","ct_6",1765,"tr_1"
1577,"CA","76","76","625a","CDI","O","C","ct_9",1489,"tr_6"
1586,"NZ","69","69","684a","CDI","O","C","ct_9",1482,"tr_6"
1591,"QB","86","86","684a","CDI","O","C","ct_8",1795,"tr_4"
1597,"TZ","67","67","563c","CDI","O","N","ct_7",1788,"tr_1"
1598,"HZ","33","33","333c","CDI","O","C","ct_9",1820,"tr_6"
1600,"OZ","59","59","545d","CDI","O","P","ct_8",1274,"tr_5"
1604,"OZ","93","75","524b","CDI","O","C","ct_1",1819,"tr_6"
1610,"NZ","75","92","543f","CDD","O","C","ct_9",1820,"tr_4"
1612,"NZ","92","92","684a","CDI","O","P","ct_9",1343,"tr_5"
1616,"CB","43","43","675a","CDI","O","C","ct_9",1565,"tr_3"
1620,"CH","57","57","673b","CDI","O","C","ct_9",1998,"tr_1"
1622,"TZ","75","75","563c","CDI","O","N","ct_7",2086,"tr_1"
1628,"NZ","54","54","684a","CDI","O","C","ct_8",1525,"tr_5"
1630,"JC","31","31","388c","CDI","O","C","ct_9",1820,"tr_6"
1656,"QB","78","78","526a","CDI","O","C","ct_8",2890,"tr_3"
1660,"MC","58","37","685a","CDI","O","C","ct_9",663,"tr_4"
1668,"PZ","59","59","341a","CDI","O","P","ct_8",1747,"tr_5"
1687,"QA","59","59","525d","CDI","O","C","ct_9",1820,"tr_6"
1694,"QA","11","11","525d","AUT","O","C","ct_3",1820,"tr_6"
1705,"NZ","10","10","541d","CDI","O","C","ct_9",1685,"tr_6"
1734,"NZ","38","38","684a","CDI","O","C","ct_9",1820,"tr_6"
1736,"OZ","06","06","373b","CDI","O","C","ct_8",1511,"tr_6"
1742,"GZ","77","77","462b","CDI","O","C","ct_9",2184,"tr_4"
1743,"CG","74","74","676c","CDI","O","C","ct_9",1964,"tr_3"
1757,"HZ","95","93","651b","CDI","O","C","ct_9",710,"tr_5"
1766,"HZ","19","19","634c","CDI","O","C","ct_9",1776,"tr_5"
1781,"JC","69","69","478d","CDI","O","C","ct_9",1784,"tr_6"
1792,"NZ",NA,NA,"684a","CDI","O","C","ct_9",1825,"tr_2"
1793,"MC","68","68","643a","CDI","O","P","ct_9",861,"tr_5"
1795,"QB","37","37","526a","CDI","O","C","ct_9",1809,"tr_4"
1800,"HZ","44","85","641a","CDI","O","C","ct_9",455,"tr_3"
1803,"CA","36","23","463d","CDI","O","C","ct_9",1386,"tr_2"
1812,"QA","86","86","542a","CDI","O","P","ct_9",1164,"tr_1"
1816,"HZ","02","02","451a","CDI","O","C","ct_9",1921,"tr_5"
1835,"EZ","69","69","684b","CDI","O","C","ct_9",1831,"tr_4"
1836,"OZ","93","75","472b","AUT","O","P","ct_1",1149,"tr_1"
1845,"QA",NA,NA,"526b","CDI","O","C","ct_9",1834,"tr_1"
1866,"CA","40","40","674b","CDI","O","C","ct_9",1828,"tr_6"
1878,"GZ","2B","2B","463e","CDI","O","C","ct_9",932,"tr_1"
1879,"FZ","72","72","637d","CDI","O","C","ct_6",435,"tr_1"
1884,"QB","89","89","526d","CDI","O","C","ct_8",623,"tr_4"
1892,"QB","17","17","525d","CDI","O","C","ct_9",489,"tr_3"
1903,"NZ","95","92","461f","CDI","O","C","ct_9",2046,"tr_0"
1918,"MA","62","59","542a","CDI","O","P","ct_8",1412,"tr_3"
1931,"CH","28","28","673a","CDI","O","C","ct_9",1410,"tr_4"
1938,"JA","57","57","627f","CDI","O","C","ct_9",2056,"tr_6"
1940,"QB","25","25","525d","CDI","O","P","ct_8",655,"tr_5"
1956,"GZ","38","38","463e","CDI","O","C","ct_9",1496,"tr_3"
1961,"GZ","60","93","653a","CDI","O","C","ct_9",1300,"tr_5"
1963,"QB","33","33","525d","CDI","O","P","ct_9",239,"tr_4"
1964,"QB","44","44","563a","CDI","O","N","ct_7",1956,"tr_1"
1966,"RZ","84","84","684a","CDI","O","C","ct_8",1784,"tr_2"
1970,"GZ","10","10","653a","CDI","O","C","ct_9",1144,"tr_1"
1978,"CA","40","40","676e","CDI","O","C","ct_9",1795,"tr_6"
2007,"OZ","63","63","333e","CDI","O","C","ct_1",1820,"tr_6"
2013,"OZ","66","66","525b","CDI","O","P","ct_2",346,"tr_5"
2030,"QB","57","57","525d","CDI","O","C","ct_8",1628,"tr_3"
2031,"FZ","56","29","481a","CDI","O","C","ct_9",1820,"tr_3"
2032,"FZ","57","57","621a","CDI","O","C","ct_9",1258,"tr_3"
2046,"PZ","36","36","691e","CDI","O","C","ct_9",1094,"tr_1"
2052,"GZ","29","29","551a","CDI","O","P","ct_9",1614,"tr_2"
2060,"GZ","95","95","554a","CDI","O","P","ct_9",1493,"tr_1"
2068,"GZ","91","94","653a","CDI","O","C","ct_9",1202,"tr_4"
2074,"OZ","31","31","354b","CDI","O","C","ct_2",1673,"tr_6"
2084,"CC","25","25","675b","CDI","O","C","ct_9",1981,"tr_1"
2085,"RZ","75","75","684a","CDI","O","C","ct_9",1183,"tr_1"
2088,"CA","10","10","674c","CDI","O","C","ct_9",183,"tr_3"
2089,"TZ","39","39","563c","CDI","O","N","ct_7",846,"tr_1"
2104,"FZ",NA,NA,"681a","CDI","O","C","ct_6",1372,"tr_1"
2109,"QA","38","38","432d","CDI","O","C","ct_8",462,"tr_6"
2124,"QB","14","14","344b","CDI","O","C","ct_8",1214,"tr_4"
2128,"QA","39","01","431a","CDI","O","P","ct_8",1042,"tr_1"
2137,"QB","91","91","432d","CDI","O","P","ct_8",893,"tr_4"
2148,"JB","95","92","478d","CDI","O","P","ct_9",1064,"tr_4"
2149,"JA","14","14","353c","CDD","O","N","ct_9",631,"tr_0"
2151,"OZ","17","17","523b","AUT","O","C","ct_1",1820,"tr_3"
2159,"CI","72","49","473b","CDI","O","C","ct_9",1589,"tr_6"
2164,"CC","87","87","675c","CDI","O","C","ct_9",1906,"tr_5"
2179,"PZ","44","44","422e","CDI","O","P","ct_2",1128,"tr_2"
2206,"NZ","30","13","684a","CDI","O","P","ct_9",975,"tr_6"
2223,"CG","08","08","681b","CDD","O","P","ct_9",186,"tr_1"
2224,"FZ","31","31","481b","CDI","O","C","ct_9",1614,"tr_2"
2229,"NZ","33","33","684a","CDI","O","P","ct_9",1448,"tr_6"
2234,"PZ","19","19","525c","CDI","O","P","ct_1",1249,"tr_3"
2235,"OZ","57","57","451g","CDI","O","P",NA,288,NA
2245,"HZ","90","70","641b","CDI","O","P","ct_9",591,"tr_3"
2252,"QA","40","64","431d","CDI","O","P","ct_3",834,"tr_6"
2273,"GZ","34","34","554b","CDD","O","P","ct_9",208,"tr_1"
2281,"QB","75","75","563b","CDI","O","N","ct_7",1360,"tr_1"
2292,"OZ","47","47","525b","AUT","O","C","ct_2",1820,"tr_6"
2302,"QA","34","34","431f","CDI","O","C","ct_9",1255,"tr_6"
2311,"DZ","95","93","386d","CDI","O","C","ct_9",1820,"tr_6"
2324,"NZ","77","77","534a","CDI","O","C","ct_9",2378,"tr_5"
2328,"JC","75","92","388c","CDI","O","C","ct_9",1771,"tr_6"
2331,"OZ","66","66","333a","AUT","O","P","ct_1",618,"tr_6"
2356,"NZ","17","16","684a","CDI","O","P","ct_9",1397,"tr_4"
2360,"QA","76","76","525d","CDI","O","C","ct_9",1820,"tr_5"
2366,"GZ","93","93","387c","CDI","O","C","ct_9",500,"tr_2"
2368,"QB","33","33","526d","CDI","O","C","ct_8",1820,"tr_4"
2370,"QA","80","80","332b","CDI","O","C","ct_3",1516,"tr_6"
2415,"CA","34","34","554a","CDI","O","C","ct_9",1820,"tr_1"
2416,"PZ","55","52","523b","AUT","O","C","ct_1",1820,"tr_4"
2435,"QA","40","40","525d","CDI","O","P","ct_8",670,"tr_4"
2438,"GZ","10","10","542a","CDI","O","C","ct_9",1438,"tr_4"
2440,"OZ","46","46","524b","CDI","O","C",NA,434,NA
2444,"GZ","85","85","636a","CDI","O","C","ct_9",1852,"tr_4"
2445,"HZ","75","93","466a","CDI","O","C","ct_9",1188,"tr_6"
2448,"SZ","44","44","461b","CDI","O","C",NA,298,NA
2451,"GZ","01","01","374a","CDI","O","C","ct_9",1820,"tr_4"
2455,"QB","51","51","525d","CDI","O","P","ct_8",685,"tr_3"
2457,"QB","12","81","526d","CDI","O","C","ct_8",1848,"tr_4"
2463,"OZ","67","67","451e","CDI","O","C","ct_8",2122,"tr_4"
2470,"CL","50","78","676e","CDI","O","C","ct_9",999,"tr_6"
2476,"RZ","83","83","435b","CDI","O","P","ct_8",680,"tr_2"
2488,"QA","2A","2A","431f","CDI","O","P","ct_9",523,"tr_5"
2489,"FZ","27","27","641a","CDI","O","C","ct_9",1848,"tr_5"
2499,"GZ","95","95","543g","CDI","O","C","ct_9",1942,"tr_6"
2500,"GZ","35","35","462c","CDI","O","C","ct_9",167,"tr_3"
2506,"SZ","30","34","543b","CDD","O","P","ct_8",1192,"tr_1"
2530,"FZ","77","94","473a","CDI","O","C","ct_9",1820,"tr_4"
2538,"KZ","83","83","467b","CDI","O","P","ct_9",1456,"tr_6"
2542,"HZ",NA,NA,"451a","CDI","O","C","ct_9",1817,"tr_6"
2547,"KZ","33","33","467a","CDI","O","C","ct_9",1771,"tr_6"
2552,"GZ","95","95","554d","CDI","O","P","ct_9",1382,"tr_1"
2583,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_1"
2598,"MB","78","94","333e","CDI","O","C","ct_1",1820,"tr_6"
2619,"MC","78","78","462e","CDI","O","C","ct_9",1780,"tr_6"
2625,"KZ","68","68","684a","CDI","O","C",NA,343,NA
2628,"QA","77","77","431a","AUT","O","C","ct_3",1820,"tr_6"
2631,"NZ",NA,NA,"632e","CDI","O","C","ct_9",1473,"tr_1"
2646,"PZ","38","38","523c","CDI","O","C","ct_8",1708,"tr_2"
2664,"NZ","95","95","684a","CDI","O","P","ct_9",1898,"tr_4"
2674,"QA","79","49","525d","CDI","O","P","ct_9",1010,"tr_6"
2679,"NZ","77","77","652a","CDI","O","C","ct_9",1820,"tr_5"
2694,"QB","04","04","563b","CDI","O","P","ct_8",1460,"tr_2"
2697,"OZ","23","23","545d","CDI","O","C","ct_8",1820,"tr_4"
2716,"CB","42","42","675a","CDI","O","C","ct_9",1778,"tr_4"
2721,"GZ","07","07","553c","CDI","O","C","ct_9",2026,"tr_3"
2740,"TZ","69","69","563c","CDI","O","N","ct_7",1479,"tr_1"
2746,"TZ","40","40","563c","CDI","O","N","ct_7",1267,"tr_1"
2759,"FZ","18","18","543g","CDI","O","P","ct_9",1490,"tr_1"
2762,"HZ","47","47","451a","CDI","O","C","ct_9",1824,"tr_4"
2766,"GZ","76","76","551a","CDI","O","C","ct_9",1603,"tr_6"
2791,"IZ","34","34","561d","CDI","O","C",NA,413,NA
2794,"FZ","85","85","632d","CDI","O","C","ct_9",1694,"tr_1"
2810,"GZ","94","77","676c","CDI","O","C","ct_9",1570,"tr_6"
2817,"CA","43","43","625g","CDI","O","C","ct_9",1010,"tr_4"
2824,"GZ","30","34","387f","CDI","O","C","ct_9",1820,"tr_6"
2831,"QB","19","19","525d","CDI","O","P","ct_8",1424,"tr_4"
2843,"QB","13","13","526a","CDI","O","P","ct_8",400,"tr_2"
2850,"SZ",NA,NA,"435b","AUT","X","P","ct_8",1134,"tr_3"
2851,"CA","41","41","636c","CDD","O","C","ct_6",1006,"tr_1"
2859,"CA","64","64","652a","CDI","O","C","ct_9",1827,"tr_6"
2863,"QB","69","69","684a","CDD","O","C","ct_8",1701,"tr_4"
2866,"QA","35","35","526e","CDI","O","C","ct_9",1635,"tr_1"
2875,"QA","42","42","451h","CDI","O","C","ct_8",1365,"tr_6"
2878,"QB","42","42","434f","CDI","O","C","ct_8",1796,"tr_0"
2880,"QA","34","34","431e","AUT","O","P","ct_3",1092,"tr_6"
2888,"QA","87","87","332b","CDI","O","C","ct_3",1860,"tr_6"
2913,"NZ","31","31","684a","CDI","O","P","ct_9",1501,"tr_6"
2915,"CA","43","43","674c","CDI","O","C","ct_9",1791,"tr_5"
2922,"QA","30","30","433a","CDI","O","C","ct_9",1625,"tr_2"
2929,"OZ","75","75","524c","AUT","X","C","ct_2",1820,"tr_6"
2932,"HZ","28","28","333c","CDI","O","C","ct_9",1834,"tr_6"
2938,"TZ","62","62","563c","CDI","O","C",NA,1151,NA
2939,"GZ","35","35","628g","CDI","O","C","ct_9",1818,"tr_3"
2943,"QA","2B","2B","525d","CDI","O","C","ct_9",1860,"tr_5"
2955,"LZ","83","83","463e","CDI","O","P","ct_9",1130,"tr_1"
2961,"QA","94","94","526e","CDI","O","C","ct_9",1714,"tr_1"
2965,"CA","21","21","674c","CDI","O","C","ct_9",1680,"tr_4"
2983,"NZ","95","75","486e","CDI","O","C","ct_9",1798,"tr_6"
2985,"RZ","06","06","435b","CDI","O","P","ct_8",780,"tr_0"
2995,"OZ","78","78","524b","CDI","O","C","ct_1",1820,"tr_6"
3004,"HZ","17","56","656b","CDD","O","C","ct_9",503,"tr_2"
3022,"HZ","73","73","543b","CDI","O","C","ct_9",1658,"tr_3"
3023,"QB","60","60","525d","CDI","O","C","ct_9",1706,"tr_4"
3036,"RZ","94","61","691b","CDD","O","C","ct_9",701,"tr_1"
3048,"QB","13","13","563b","CDI","O","N","ct_7",2888,"tr_1"
3054,"CJ","91","91","373c","CDI","O","C","ct_9",1746,"tr_6"
3058,"OZ","62","62","434b","CDI","O","C","ct_8",2044,"tr_2"
3061,"OZ","38","38","472d","AUT","O","C","ct_2",1819,"tr_6"
3072,"QA","12","12","526a","CDI","O","C","ct_3",1820,"tr_4"
3073,"MB","69","69","451e","CDI","O","C","ct_1",1804,"tr_5"
3084,"GZ","03","75","554e","CDI","O","C","ct_9",479,"tr_1"
3087,"HZ","13","13","521a","CDI","O","C",NA,178,NA
3094,"OZ","31","31","333e","CDI","O","P","ct_1",1485,"tr_5"
3105,"HZ","74","74","543g","CDI","O","C","ct_9",2023,"tr_3"
3135,"OZ","44","44","523b","AUT","O","C","ct_1",1820,"tr_2"
3144,"QB","43","43","526d","CDI","O","P","ct_8",1456,"tr_4"
