primary_key,working_hours,job_dep,job_desc,Employee_count,EMPLOYER_TYPE,JOB_CATEGORY,Remuneration,Type_of_contract,eco_sect,Work_condition
756,1820,"01","463e","tr_2","ct_9","O",18517,"CDI","GZ","C"
764,1820,"01","523c","tr_6","ct_2","O",25984,"AUT","OZ","C"
766,1161,"01","561e","tr_1","ct_9","O",10387,"CDI","IZ","P"
767,1656,"69","472a","tr_4","ct_9","O",24408,"CDI","MA","C"
769,1813,"69","543g","tr_4","ct_9","O",33410,"CDI","JC","C"
771,589,"01","636c","tr_2","ct_9","O",6890,"CDI","CA","C"
785,151,"01","422c","tr_3","ct_8","O",2403,"CDI","PZ","P"
786,1757,"69","382d","tr_2","ct_9","O",37275,"CDI","MA","C"
789,511,"01","676c","tr_6","ct_9","O",6580,"CDI","HZ","C"
807,1456,"01","431b","tr_2","ct_8","O",24821,"CDI","QA","C"
823,962,"01","561c","tr_1","ct_9","O",10959,"CDI","IZ","C"
824,1116,"01","622c","tr_1","ct_9","O",11113,"TTP","NZ","C"
825,1542,"01","526c","tr_5","ct_9","O",15920,"CDI","QB","C"
827,716,"01","526e","tr_2","ct_9","O",12289,"CDI","QA","C"
829,1638,"38","423b","tr_3","ct_8","O",23653,"CDI","PZ","P"
830,571,"75","478a","tr_1","ct_9","O",4955,"CDD","MA","C"
855,686,"73","422b","tr_2","ct_8","O",16491,"CDI","PZ","P"
862,726,"01","524c","tr_2","ct_2","O",6313,"CDI","OZ","P"
864,1743,"78","374d","tr_6","ct_9","O",43703,"CDI","GZ","C"
870,1822,"01","451a","tr_4","ct_9","O",24910,"CDI","HZ","C"
874,1694,"01","374a","tr_2","ct_9","O",32910,"CDI","GZ","C"
875,1820,"69","461e","tr_3","ct_9","O",39378,"CDI","KZ","C"
879,1585,"69","555a","tr_2","ct_9","O",22540,"CDI","NZ","C"
880,811,"74","636a","tr_5","ct_9","O",8063,"CDI","GZ","C"
895,1820,"01","422c","tr_3","ct_8","O",19565,"CDI","PZ","C"
904,1820,"01","422c","tr_5","ct_8","O",17672,"CDI","PZ","C"
908,2028,"01","533a","tr_6","ct_2","O",37737,"AUT","OZ","C"
927,677,"01","433d","tr_1","ct_9","O",7192,"CDI","GZ","P"
933,1889,"01","674a","tr_5","ct_9","O",26997,"CDI","CM","C"
935,1947,"01","653a","tr_6","ct_9","O",22280,"CDI","GZ","C"
937,1705,"01","674a","tr_5","ct_9","O",17013,"CDI","CG","C"
939,1488,"01","461c","tr_2","ct_9","O",16358,"CDI","PZ","P"
940,1813,"01","676a","tr_1","ct_9","O",20771,"TTP","NZ","N"
950,1914,"01","624c","tr_6","ct_9","O",21483,"CDI","CL","C"
966,1209,"69","643a","tr_1","ct_9","O",11256,"CDI","GZ","C"
970,3000,"01","563a","tr_1","ct_7","O",16704,"CDI","QB","N"
986,1025,"92","478d","tr_1","ct_9","O",9898,"CDD","JB","C"
988,1372,"01","525d","tr_6","ct_3","O",13273,"CDI","QA","P"
993,1891,"38","484b","tr_4","ct_9","O",25614,"CDI","CM","C"
995,402,"38","621g","tr_1","ct_9","O",10895,"CDI","BZ","C"
996,1743,"01","623d","tr_2","ct_9","O",19440,"CDI","CI","C"
999,1617,"01","633a","tr_1","ct_9","O",22417,"CDI","FZ","C"
1002,1610,"01","434e","tr_3","ct_8","O",18430,"CDI","QB","C"
1009,306,"01","643a","tr_1","ct_9","O",5181,"CDI","HZ","C"
1018,1628,"01","543b","tr_5","ct_9","O",19551,"CDI","IZ","C"
1019,1958,"01","462e","tr_1","ct_9","O",23462,"CDI","NZ","C"
1036,679,"01","543g","tr_5","ct_9","O",6518,"CDI","HZ","C"
1038,1582,"69","477a","tr_3","ct_9","O",14941,"CDD","MA","C"
1042,1720,"69","387c","tr_1","ct_9","O",29022,"CDI","MA","C"
1063,2048,"01","676c","tr_6","ct_9","O",27779,"CDI","HZ","C"
1068,1820,"74","633a","tr_2","ct_9","O",26813,"CDI","FZ","C"
1079,1415,"02","628g","tr_2","ct_8","O",15314,"CDI","QB","C"
1084,1560,"02","563b","tr_6","ct_8","O",13112,"CDI","QA","P"
1086,135,"02","684a","tr_1",NA,"O",1296,"CDI","NZ","C"
1092,2071,"02","681a","tr_0","ct_6","O",16971,"CDI","FZ","C"
1100,1844,"02","434a","tr_2","ct_8","O",35766,"CDI","MA","C"
1106,1971,"02","461b","tr_2","ct_9","O",27536,"CDI","QA","C"
1113,1507,"02","472c","tr_1","ct_9","O",17889,"CDI","EZ","C"
1119,1365,"02","676c","tr_3","ct_8","X",10922,"AUT","SZ","P"
1126,728,"02","555a","tr_0","ct_9","O",9577,"CDI","NZ","C"
1131,718,"02","563b","tr_4","ct_8","O",6619,"CDI","QA","P"
1134,1695,"02","625c","tr_2","ct_9","O",20560,"CDI","CG","C"
1135,1999,"02","387e","tr_4","ct_9","O",48647,"CDI","CA","C"
1136,1635,"93","486d","tr_6","ct_9","O",26107,"CDI","HZ","C"
1150,1797,"92","525a","tr_4","ct_8","O",18838,"CDI","QB","C"
1160,1460,"02","627c","tr_5","ct_9","O",13432,"CDI","CB","C"
1161,1348,"75","423b","tr_5","ct_9","O",11522,"CDI","NZ","P"
1163,1820,"02","467a","tr_6","ct_9","O",23355,"CDI","KZ","C"
1165,1482,"02","461b","tr_2","ct_9","O",20094,"CDI","FZ","P"
1167,1636,"75","344c","tr_6","ct_1","O",18131,"CDD","OZ","P"
1177,1183,"02","524c","tr_1","ct_2","O",23216,"AUT","OZ","P"
1180,1058,"51","465a","tr_5","ct_9","O",7720,"CDI","GZ","C"
1181,770,"51","634c","tr_2","ct_9","A",4934,"APP","GZ","C"
1184,1637,"02","474c","tr_3","ct_9","O",41372,"CDI","CH","C"
1185,2038,"59","641a","tr_5","ct_9","O",22895,"CDI","HZ","C"
1188,2963,"02","563a","tr_1","ct_7","O",8089,"CDI","QB","N"
1191,988,"02","673c","tr_1","ct_9","O",13801,"TTP","NZ","C"
1204,1386,"02","563a","tr_1","ct_7","O",4781,"CDI","QB","N"
1205,1399,"94","632f","tr_2","ct_9","O",23294,"CDI","FZ","C"
1215,995,"60","463e","tr_1","ct_9","O",11550,"CDI","FZ","C"
1220,1836,"02","526b","tr_1","ct_9","X",10809,"AUT","MC","C"
1229,1820,"93","434d","tr_3","ct_8","O",30391,"CDI","QB","C"
1233,1891,"02","641b","tr_3","ct_9","O",19975,"CDI","HZ","C"
1240,1679,"02","684a","tr_5","ct_9","O",15246,"CDI","NZ","P"
1241,1607,"02","673a","tr_3","ct_9","O",20746,"CDI","FZ","C"
1246,954,"02","525b","tr_3","ct_8","O",8201,"CDI","PZ","P"
1249,1736,"02","462e","tr_3","ct_9","O",23031,"CDI","CA","C"
1250,1820,"02","485a","tr_6","ct_9","O",32396,"CDI","CG","C"
1256,845,"02","676c","tr_6","ct_9","O",9053,"CDI","HZ","C"
1265,1820,"02","434f","tr_3","ct_8","O",25836,"CDI","QB","C"
1279,1859,"02","525a","tr_2","ct_2","O",21399,"AUT","OZ","C"
1283,1808,"02","433d","tr_1","ct_9","O",21188,"CDI","GZ","C"
1285,1675,"02","435b","tr_4","ct_9","O",24919,"CDI","QB","C"
1286,1512,"02","463e","tr_1","ct_9","O",27717,"CDI","FZ","C"
1290,1743,"02","676c","tr_3","ct_9","O",14697,"CDI","NZ","C"
1306,1500,"02","467a","tr_1","ct_9","A",11638,"APP","KZ","C"
1315,1678,"51","481a","tr_4","ct_9","O",34254,"CDI","FZ","C"
1317,1460,"02","526b","tr_1","ct_9","O",27482,"CDI","QA","P"
1325,2123,"02","341a","tr_3","ct_8","O",38929,"CDI","PZ","C"
1343,962,"02","467a","tr_6","ct_9","O",18455,"CDI","KZ","C"
1347,1670,"02","526a","tr_4","ct_9","O",17658,"CDI","QB","C"
1348,1820,"92","422b","tr_3","ct_8","O",33417,"CDI","PZ","C"
1350,1820,"02","431f","tr_6","ct_3","O",25199,"AUT","QA","C"
1352,1173,"80","676e","tr_6","ct_9","O",12173,"TOA","CA","C"
1356,1532,"02","384a","tr_3","ct_9","O",38747,"CDI","CK","C"
1362,1699,"02","461f","tr_3","ct_1","O",32224,"CDI","OZ","P"
1367,679,"02","653a","tr_1","ct_9","O",7875,"CDI","GZ","P"
1373,1616,"02","344d","tr_2","ct_9","O",40356,"CDI","GZ","C"
1376,910,"02","526a","tr_6","ct_9","O",10270,"CDI","QA","P"
1377,649,"59","552a","tr_4","ct_9","O",7519,"CDI","GZ","C"
1378,1727,"60","467a","tr_1","ct_9","O",33107,"CDI","KZ","C"
1386,1820,"02","341a","tr_3","ct_8","O",31319,"CDI","PZ","C"
1395,1212,"02","424a","tr_1","ct_9","O",11112,"CDI","RZ","C"
1396,1726,"02","462b","tr_3","ct_9","O",27540,"CDI","GZ","C"
1400,1627,"02","673c","tr_6","ct_9","O",18707,"CDI","CL","C"
1402,1442,"75","534a","tr_6","ct_9","O",17265,"CDI","NZ","C"
1405,1819,"02","526a","tr_6","ct_3","O",22794,"CDI","QA","C"
1406,1820,"02","632e","tr_1","ct_9","O",19361,"CDI","FZ","C"
1419,1607,"02","673a","tr_3","ct_9","O",21823,"CDI","FZ","C"
1422,1399,"60","461b","tr_1","ct_9","O",12623,"CDI","IZ","C"
1443,1211,"02","563a","tr_1","ct_7","O",3089,"CDI","QB","N"
1446,1857,"02","624c","tr_5","ct_9","O",21671,"CDI","CH","C"
1458,226,"02","523d","tr_4","ct_3","O",2807,"CDI","QB","P"
1459,1089,"02","562b","tr_1","ct_6","O",10135,"CDI","SZ","P"
1462,606,"02","621f","tr_2","ct_2","O",5452,"CDD","OZ","C"
1466,1820,"02","467a","tr_6","ct_9","O",34241,"CDI","KZ","C"
1470,1568,"02","685a","tr_2","ct_9","O",15498,"CDI","CC","C"
1482,1638,"60","534a","tr_5","ct_9","O",17532,"CDI","NZ","C"
1489,1833,"02","676a","tr_3","ct_9","O",15410,"CDI","HZ","C"
1501,850,"51","541b","tr_4","ct_9","O",9471,"CDI","MA","P"
1513,1820,"02","543g","tr_6","ct_9","O",22796,"CDI","HZ","C"
1519,641,"59","691f","tr_1","ct_9","O",6241,"CDI","GZ","P"
1521,1684,"77","621c","tr_3","ct_9","O",26315,"CDI","FZ","C"
1524,1890,"02","621f","tr_2","ct_2","O",16842,"AUT","OZ","C"
1525,200,"93","631a","tr_1",NA,"O",2034,"CDI","NZ","C"
1527,1819,"62","534a","tr_5","ct_9","O",14986,"CDI","NZ","C"
1531,1917,"51","372b","tr_5","ct_9","O",36891,"CDI","CA","C"
1544,458,"59","525b","tr_6","ct_2","O",4086,"AUT","OZ","P"
1545,1778,"02","462e","tr_5","ct_9","O",30090,"CDI","CK","C"
1552,1624,"02","681a","tr_2","ct_9","O",14197,"CDI","FZ","C"
1558,1229,"02","563a","tr_1","ct_7","O",8565,"CDI","TZ","N"
1560,1808,"60","673c","tr_5","ct_9","O",23768,"CDI","CL","C"
1563,2089,"02","526e","tr_2","ct_9","O",19636,"CDI","QA","C"
1573,1789,"02","625a","tr_6","ct_9","O",30271,"CDI","CA","C"
1575,850,"02","525d","tr_4","ct_3","O",8246,"AUT","QB","P"
1576,1827,"93","652a","tr_3","ct_9","O",27536,"CDI","CA","C"
1588,328,"02","676c","tr_1","ct_9","O",3060,"TTP","NZ","N"
1589,203,"78","632a","tr_2","ct_9","O",1526,"CDI","FZ","C"
1593,1820,"02","432d","tr_6","ct_8","O",32680,"CDI","QA","C"
1595,1709,"77","477d","tr_3","ct_9","O",49298,"CDI","EZ","C"
1601,1820,"51","344d","tr_5","ct_9","O",42016,"CDI","CF","C"
1611,613,"02","555a","tr_4","ct_9","O",8502,"CDD","NZ","C"
1615,1135,"02","561c","tr_1","ct_6","O",10225,"CDI","IZ","C"
1627,1540,"02","674d","tr_1","ct_9","O",16324,"CDI","CG","C"
1642,1820,"02","421b","tr_3","ct_8","O",27318,"CDI","PZ","C"
1643,1560,"02","563b","tr_6","ct_8","O",13722,"CDI","QA","P"
1654,1568,"02","372e","tr_1","ct_9","O",26295,"CDI","MA","C"
1655,1840,"02","525d","tr_6","ct_9","O",16204,"CDI","QA","C"
1663,1447,"02","525d","tr_4","ct_9","O",13969,"CDI","QB","P"
1670,1542,"93","466c","tr_6","ct_9","O",45947,"CDI","HZ","C"
1675,1820,"80","342g","tr_5","ct_1","O",23983,"CDI","MB","C"
1680,152,"02","524b","tr_4","ct_1","O",1568,"CDD","PZ","P"
1683,1803,"60","467a","tr_1","ct_9","O",44320,"CDI","KZ","C"
1700,1819,"02","422e","tr_4","ct_1","O",14777,"CDD","PZ","C"
1702,1662,"02","674a","tr_4","ct_9","O",28348,"CDI","CG","C"
1703,673,"59","468a","tr_1","ct_9","A",5292,"APP","IZ","C"
1709,1633,"51","422e","tr_3","ct_8","O",15400,"CDI","PZ","P"
1715,1825,"02","431f","tr_4","ct_3","O",23429,"CDI","QB","C"
1726,1578,"02","676a","tr_4","ct_9","O",12295,"CDI","NZ","C"
1729,1537,"02","431a","tr_4","ct_8","O",32801,"CDI","QB","C"
1739,1214,"02","551a","tr_6","ct_9","O",14467,"CDI","GZ","P"
1744,1872,"02","545d","tr_6","ct_8","O",27876,"CDI","OZ","C"
1755,1083,"02","563b","tr_4","ct_2","O",11719,"CDD","QB","P"
1759,1799,"77","479b","tr_5","ct_9","O",23310,"CDI","CM","C"
1760,1177,"02","543h","tr_1","ct_9","O",16865,"CDI","CG","C"
1764,511,"02","525d","tr_3","ct_3","X",4684,"AUT","QB","P"
1769,1724,"02","486d","tr_6","ct_9","O",27570,"CDI","HZ","C"
1770,1240,"02","561b","tr_1","ct_6","O",11578,"CDI","IZ","C"
1773,800,"59","526a","tr_4","ct_9","O",10894,"CDI","QB","C"
1777,1821,"02","624e","tr_1","ct_9","O",20050,"CDI","CK","C"
1779,759,"02","625f","tr_6","ct_9","O",5437,"CDI","CA","C"
1783,2629,"02","563b","tr_5","ct_2","O",24536,"AUT","QB","P"
1784,1661,"02","563b","tr_6","ct_8","O",16818,"CDI","QA","P"
1790,1400,"02","636d","tr_2","ct_9","O",12234,"CDI","GZ","C"
1801,1912,"02","389a","tr_2","ct_9","O",28803,"CDI","MA","C"
1805,1595,"60","674a","tr_5","ct_9","O",21092,"CDI","CL","C"
1819,487,"02","422e","tr_4","ct_1","O",4536,"CDD","PZ","P"
1826,1585,"02","526a","tr_3","ct_8","O",17782,"CDI","QA","P"
1827,561,"02","621f","tr_3","ct_2","O",4310,"AUT","OZ","C"
1828,869,"60","563b","tr_5","ct_8","O",8459,"CDI","QB","P"
1830,1459,"59","683a","tr_6","ct_9","A",17807,"APP","GZ","C"
1831,1280,"02","674c","tr_6","ct_9","X",15058,"AUT","CA","C"
1832,1820,"02","434c","tr_5","ct_8","O",23407,"CDI","OZ","C"
1833,1492,"51","382d","tr_1","ct_9","O",30673,"CDI","MA","C"
1839,535,"02","479b","tr_1","ct_9","O",49245,"CDI","KZ","C"
1840,986,"02","431f","tr_3","ct_3","O",14079,"CDI","QB","P"
1843,1710,"02","682a","tr_3","ct_9","O",16836,"CDI","GZ","C"
1844,1218,"02","554e","tr_1","ct_9","O",10658,"CDI","GZ","C"
1852,1212,"02","424a","tr_1","ct_9","O",10191,"CDI","RZ","C"
1859,263,"02","621c","tr_4","ct_9","O",2235,"CDI","FZ","C"
1868,318,"02","563c",NA,NA,"O",2388,"AUT","TZ","C"
1871,1130,"63","462b","tr_4","ct_9","O",25920,"CDI","GZ","C"
1874,625,"03","563c","tr_3","ct_8","O",4546,"CDD","NZ","C"
1875,1890,"03","652a","tr_3","ct_9","O",21964,"CDI","GZ","C"
1890,821,"03","461c","tr_6","ct_9","O",15473,"CDI","CH","P"
1894,1557,"03","683a","tr_1","ct_9","A",6018,"APP","CA","C"
1897,996,"63","526b","tr_2","ct_8","O",9993,"CDI","SZ","C"
1900,1642,"03","562b","tr_2","ct_9","O",21992,"CDI","SZ","C"
1911,1820,"03","632k","tr_6","ct_3","O",20593,"AUT","QA","C"
1912,1182,"03","632k","tr_4","ct_8","O",13623,"CDI","QB","P"
1920,984,"03","526a","tr_4","ct_8","O",13986,"CDD","QB","C"
1944,1062,"03","683a","tr_2","ct_9","A",5760,"APP","CA","C"
1945,1715,"03","389a","tr_4","ct_9","O",39198,"CDI","HZ","C"
1947,236,"03","563b",NA,NA,"O",2821,"CDI","QB","C"
1951,1591,"03","681a","tr_2","ct_9","A",8652,"APP","FZ","C"
1952,1322,"03","561b","tr_2","ct_9","O",12877,"CDI","IZ","C"
1971,1820,"18","373d","tr_2","ct_8","O",42535,"CDI","SZ","C"
1972,1560,"03","632a","tr_4","ct_9","O",16145,"CDI","FZ","C"
1975,1991,"63","542a","tr_1","ct_9","O",15909,"CDI","KZ","P"
1984,1291,"03","481b","tr_0","ct_9","O",28107,"CDI","FZ","C"
1998,1820,"03","433d","tr_1","ct_6","O",20551,"CDI","GZ","C"
1999,833,"03","554a","tr_1","ct_9","O",5551,"CDI","GZ","P"
2000,1778,"03","543h","tr_3","ct_9","O",20787,"CDI","CA","C"
2011,1294,"03","431f","tr_4","ct_8","O",21435,"CDI","QB","C"
2016,1630,"03","632e","tr_2","ct_9","O",16973,"CDI","FZ","C"
2027,605,"03","542a","tr_1","ct_6","O",4587,"CDI","QA","P"
2037,2028,"03","431f","tr_5","ct_3","O",24471,"CDI","QB","C"
2051,1823,"03","431f","tr_6","ct_3","O",26629,"AUT","QA","C"
2072,1820,"03","543b","tr_3","ct_9","O",17175,"CDI","MA","C"
2077,1778,"03","543f","tr_3","ct_9","O",19352,"CDI","CC","C"
2082,976,"03","554f","tr_1","ct_9","O",9352,"CDI","GZ","C"
2096,1207,"03","675a","tr_5","ct_9","O",6001,"CDI","CB","C"
2107,934,"03","636d","tr_1","ct_9","O",10765,"CDI","IZ","C"
2110,1865,"03","631a","tr_3","ct_9","O",16633,"CDI","NZ","C"
2114,452,"03","542a","tr_1","ct_9","O",3765,"CDI","FZ","P"
2116,199,"71","676a","tr_1","ct_9","O",1545,"TTP","NZ","N"
2117,1819,"63","552a","tr_4","ct_9","O",31116,"CDI","HZ","C"
2123,1785,"63","376c","tr_3","ct_9","O",38483,"CDI","KZ","C"
2129,1664,"03","545d","tr_1","ct_8","O",19516,"CDI","OZ","P"
2131,398,"03","563c",NA,NA,"O",3853,"TTP","TZ","C"
2155,527,"63","641b","tr_4","ct_9","O",11755,"CDI","HZ","C"
2169,1665,"03","551a","tr_3","ct_9","O",16628,"CDI","GZ","P"
2174,1820,"03","472d","tr_3","ct_2","O",20564,"CDI","EZ","C"
2175,2200,"63","641a","tr_3","ct_9","O",27035,"CDI","HZ","C"
