primary_key,Club
6451,"CLUB214"
6458,"CLUB111"
6465,"CLUB123"
6472,"CLUB123"
6489,"CLUB249"
6504,"CLUB133"
6532,"CLUB127"
6562,"CLUB242"
6576,"CLUB106"
6580,"CLUB604"
6598,"CLUB115"
6599,"CLUB123"
6613,"CLUB218"
6621,"CLUB128"
6623,"CLUB115"
6625,"CLUB125"
6629,"CLUB115"
6647,"CLUB109"
6668,"CLUB132"
6687,"CLUB109"
6718,"CLUB133"
6721,"CLUB219"
6726,"CLUB266"
6737,"CLUB103"
6753,"CLUB212"
6756,"CLUB108"
6773,"CLUB133"
6782,"CLUB248"
6786,"CLUB111"
6815,"CLUB201"
6823,"CLUB105"
6835,"CLUB205"
6854,"CLUB117"
6878,"CLUB114"
6879,"CLUB242"
6881,"CLUB111"
6899,"CLUB404"
6909,"CLUB109"
6917,"CLUB242"
6925,"CLUB213"
6937,"CLUB251"
6948,"CLUB133"
6955,"CLUB242"
6960,"CLUB233"
6967,"CLUB119"
6968,"CLUB123"
6970,"CLUB119"
6972,"CLUB135"
6975,"CLUB133"
6983,"CLUB242"
6991,"CLUB111"
6993,"CLUB242"
6999,"CLUB132"
7016,"CLUB108"
7025,"CLUB108"
7027,"CLUB403"
7037,"CLUB108"
7050,"CLUB111"
7054,"CLUB242"
7071,"CLUB111"
7085,"CLUB123"
7089,"CLUB221"
7106,"CLUB245"
7115,"CLUB101"
7118,"CLUB245"
7128,"CLUB404"
7135,"CLUB111"
7136,"CLUB242"
7143,"CLUB242"
7147,"CLUB218"
7163,"CLUB403"
7169,"CLUB110"
7172,"CLUB403"
7202,"CLUB403"
7203,"CLUB402"
7212,"CLUB111"
7225,"CLUB111"
7248,"CLUB402"
7260,"CLUB132"
7264,"CLUB402"
7306,"CLUB221"
7324,"CLUB212"
7370,"CLUB128"
7375,"CLUB115"
7388,"CLUB132"
7402,"CLUB132"
7410,"CLUB111"
7445,"CLUB125"
7467,"CLUB125"
7473,"CLUB252"
7506,"CLUB123"
7546,"CLUB410"
7561,"CLUB405"
7617,"CLUB601"
7620,"CLUB604"
7628,"CLUB125"
7663,"CLUB111"
7674,"CLUB127"
7695,"CLUB111"
7717,"CLUB242"
7734,"CLUB403"
7763,"CLUB115"
7800,"CLUB602"
7826,"CLUB111"
7828,"CLUB128"
7837,"CLUB602"
7838,"CLUB413"
7844,"CLUB111"
7848,"CLUB123"
7862,"CLUB604"
7882,"CLUB105"
7885,"CLUB102"
7887,"CLUB261"
7889,"CLUB123"
7918,"CLUB219"
7921,"CLUB201"
7944,"CLUB115"
7998,"CLUB266"
7999,"CLUB132"
8022,"CLUB242"
8035,"CLUB402"
8045,"CLUB111"
8047,"CLUB206"
8083,"CLUB228"
8098,"CLUB123"
8122,"CLUB402"
8125,"CLUB111"
8127,"CLUB115"
8143,"CLUB123"
8183,"CLUB402"
8186,"CLUB103"
8190,"CLUB402"
8195,"CLUB221"
8213,"CLUB103"
8225,"CLUB132"
8240,"CLUB119"
8254,"CLUB249"
8287,"CLUB413"
8295,"CLUB109"
8299,"CLUB127"
8302,"CLUB245"
8327,"CLUB242"
8330,"CLUB242"
8358,"CLUB133"
8392,"CLUB121"
8399,"CLUB410"
8404,"CLUB601"
8412,"CLUB115"
8433,"CLUB125"
8449,"CLUB242"
8454,"CLUB123"
8469,"CLUB115"
8515,"CLUB133"
8516,"CLUB410"
8517,"CLUB242"
8518,"CLUB103"
8534,"CLUB205"
8551,"CLUB233"
8553,"CLUB202"
8574,"CLUB109"
8577,"CLUB221"
8602,"CLUB109"
8620,"CLUB105"
8638,"CLUB605"
8643,"CLUB413"
8649,"CLUB111"
8695,"CLUB111"
8698,"CLUB604"
8706,"CLUB105"
8730,"CLUB209"
8742,"CLUB125"
8780,"CLUB410"
8809,"CLUB115"
8812,"CLUB115"
8820,"CLUB245"
8827,"CLUB245"
8830,"CLUB123"
8852,"CLUB132"
8897,"CLUB101"
8913,"CLUB105"
8930,"CLUB218"
8933,"CLUB103"
8949,"CLUB221"
8987,"CLUB108"
8995,"CLUB420"
9006,"CLUB123"
9044,"CLUB106"
9056,"CLUB132"
9065,"CLUB119"
9098,"CLUB123"
9106,"CLUB603"
9115,"CLUB123"
9119,"CLUB111"
9130,"CLUB101"
9155,"CLUB134"
9156,"CLUB115"
9159,"CLUB401"
9160,"CLUB111"
9167,"CLUB603"
9175,"CLUB410"
9176,"CLUB111"
9179,"CLUB117"
9205,"CLUB404"
9224,"CLUB602"
9234,"CLUB125"
9235,"CLUB420"
9271,"CLUB266"
9275,"CLUB415"
9311,"CLUB128"
9319,"CLUB410"
9372,"CLUB410"
9383,"CLUB117"
9401,"CLUB605"
9403,"CLUB119"
9537,"CLUB123"
9540,"CLUB245"
9555,"CLUB245"
9557,"CLUB108"
9592,"CLUB119"
9631,"CLUB121"
9666,"CLUB123"
9683,"CLUB111"
9699,"CLUB405"
9707,"CLUB117"
9709,"CLUB242"
9711,"CLUB132"
9719,"CLUB501"
9722,"CLUB119"
9744,"CLUB410"
9798,"CLUB405"
9830,"CLUB601"
9853,"CLUB410"
9860,"CLUB401"
9864,"CLUB401"
9883,"CLUB413"
9898,"CLUB111"
9929,"CLUB605"
9930,"CLUB243"
9939,"CLUB128"
9963,"CLUB125"
9992,"CLUB245"
10000,"CLUB111"
10027,"CLUB111"
10104,"CLUB123"
10105,"CLUB212"
10110,"CLUB601"
10112,"CLUB132"
10132,"CLUB242"
10141,"CLUB119"
10175,"CLUB127"
10181,"CLUB501"
10197,"CLUB267"
10206,"CLUB410"
10247,"CLUB242"
10291,"CLUB123"
10304,"CLUB128"
10310,"CLUB111"
10331,"CLUB413"
10368,"CLUB402"
10377,"CLUB221"
10394,"CLUB102"
10411,"CLUB115"
10413,"CLUB602"
10434,"CLUB218"
10435,"CLUB210"
10471,"CLUB221"
10477,"CLUB123"
10478,"CLUB420"
10487,"CLUB128"
10502,"CLUB111"
10571,"CLUB126"
10605,"CLUB103"
10619,"CLUB602"
10621,"CLUB218"
10628,"CLUB221"
10636,"CLUB132"
10642,"CLUB123"
10654,"CLUB245"
10673,"CLUB242"
10692,"CLUB242"
10693,"CLUB245"
10719,"CLUB115"
10732,"CLUB111"
10734,"CLUB111"
10736,"CLUB115"
10789,"CLUB126"
10812,"CLUB125"
10821,"CLUB136"
10830,"CLUB123"
10837,"CLUB115"
10840,"CLUB135"
10868,"CLUB123"
10887,"CLUB601"
10911,"CLUB129"
10914,"CLUB105"
10918,"CLUB402"
10930,"CLUB109"
10936,"CLUB602"
10947,"CLUB404"
10958,"CLUB126"
10973,"CLUB132"
10984,"CLUB115"
10993,"CLUB111"
11011,"CLUB206"
11019,"CLUB402"
11030,"CLUB402"
11059,"CLUB413"
11077,"CLUB111"
11090,"CLUB413"
11093,"CLUB402"
11104,"CLUB245"
11105,"CLUB105"
11106,"CLUB123"
11110,"CLUB410"
11123,"CLUB134"
11127,"CLUB410"
11150,"CLUB136"
11174,"CLUB109"
11182,"CLUB111"
11232,"CLUB128"
11251,"CLUB111"
11264,"CLUB115"
11278,"CLUB123"
11283,"CLUB602"
11286,"CLUB108"
11291,"CLUB209"
11306,"CLUB402"
11315,"CLUB221"
11341,"CLUB108"
11351,"CLUB136"
11360,"CLUB402"
11362,"CLUB133"
11380,"CLUB111"
11388,"CLUB111"
11399,"CLUB111"
11409,"CLUB404"
11434,"CLUB133"
11471,"CLUB401"
11473,"CLUB402"
11477,"CLUB135"
11478,"CLUB402"
11490,"CLUB115"
11499,"CLUB245"
11512,"CLUB111"
11525,"CLUB111"
11531,"CLUB233"
11571,"CLUB261"
11595,"CLUB119"
11596,"CLUB126"
11611,"CLUB601"
11612,"CLUB266"
11617,"CLUB604"
11644,"CLUB413"
11654,"CLUB604"
11678,"CLUB119"
11691,"CLUB117"
11707,"CLUB604"
11715,"CLUB245"
11732,"CLUB211"
11755,"CLUB221"
11775,"CLUB132"
11785,"CLUB123"
11808,"CLUB123"
11814,"CLUB123"
11832,"CLUB233"
11836,"CLUB111"
11840,"CLUB109"
11841,"CLUB111"
11842,"CLUB413"
11862,"CLUB111"
11880,"CLUB111"
11881,"CLUB210"
11883,"CLUB132"
11887,"CLUB117"
11893,"CLUB117"
11910,"CLUB109"
11924,"CLUB601"
11934,"CLUB132"
11935,"CLUB113"
11947,"CLUB119"
11971,"CLUB221"
11975,"CLUB605"
12000,"CLUB115"
12029,"CLUB111"
12052,"CLUB402"
12067,"CLUB123"
12095,"CLUB117"
12107,"CLUB413"
12115,"CLUB111"
12116,"CLUB249"
12230,"CLUB242"
12234,"CLUB123"
12248,"CLUB410"
12266,"CLUB123"
12271,"CLUB402"
12286,"CLUB402"
12299,"CLUB111"
12300,"CLUB413"
12304,"CLUB119"
12309,"CLUB123"
12334,"CLUB132"
12340,"CLUB218"
12355,"CLUB123"
12361,"CLUB503"
12363,"CLUB267"
12375,"CLUB128"
12401,"CLUB128"
12414,"CLUB111"
12436,"CLUB245"
12448,"CLUB128"
12462,"CLUB242"
12479,"CLUB503"
12485,"CLUB245"
12519,"CLUB402"
12524,"CLUB105"
12547,"CLUB111"
12556,"CLUB123"
12578,"CLUB402"
12589,"CLUB132"
12611,"CLUB604"
12615,"CLUB402"
12624,"CLUB402"
12625,"CLUB115"
12639,"CLUB111"
12650,"CLUB604"
12660,"CLUB128"
12663,"CLUB420"
12668,"CLUB132"
12686,"CLUB206"
12698,"CLUB413"
12721,"CLUB604"
12749,"CLUB109"
12762,"CLUB601"
12783,"CLUB123"
12786,"CLUB117"
12788,"CLUB134"
12836,"CLUB111"
12842,"CLUB117"
12856,"CLUB111"
12871,"CLUB115"
12884,"CLUB221"
12887,"CLUB242"
12911,"CLUB125"
12918,"CLUB101"
12953,"CLUB128"
12958,"CLUB117"
12961,"CLUB133"
12967,"CLUB128"
13037,"CLUB402"
13042,"CLUB258"
13053,"CLUB245"
13133,"CLUB117"
13147,"CLUB402"
13159,"CLUB132"
13160,"CLUB105"
13175,"CLUB119"
13192,"CLUB111"
13221,"CLUB111"
13257,"CLUB601"
13258,"CLUB101"
13278,"CLUB111"
13293,"CLUB136"
13301,"CLUB105"
13349,"CLUB123"
13352,"CLUB111"
13359,"CLUB242"
13376,"CLUB503"
13380,"CLUB210"
13391,"CLUB111"
13394,"CLUB123"
13400,"CLUB111"
13401,"CLUB221"
13405,"CLUB132"
13411,"CLUB415"
13422,"CLUB134"
13452,"CLUB242"
13453,"CLUB101"
13454,"CLUB125"
13475,"CLUB111"
13487,"CLUB111"
13489,"CLUB111"
13505,"CLUB218"
13543,"CLUB111"
13585,"CLUB103"
13607,"CLUB110"
13614,"CLUB115"
13640,"CLUB133"
13661,"CLUB245"
13668,"CLUB413"
13687,"CLUB245"
13699,"CLUB111"
13705,"CLUB133"
13707,"CLUB109"
13709,"CLUB133"
13728,"CLUB413"
13759,"CLUB133"
13779,"CLUB245"
13795,"CLUB245"
13812,"CLUB109"
13821,"CLUB123"
13836,"CLUB111"
13864,"CLUB117"
13873,"CLUB402"
13901,"CLUB119"
13918,"CLUB133"
13951,"CLUB413"
13957,"CLUB106"
13964,"CLUB111"
13973,"CLUB106"
14024,"CLUB413"
14042,"CLUB113"
14052,"CLUB113"
14079,"CLUB245"
14089,"CLUB108"
14090,"CLUB202"
14120,"CLUB212"
14137,"CLUB403"
14154,"CLUB119"
14166,"CLUB402"
14228,"CLUB132"
14234,"CLUB134"
14235,"CLUB133"
14240,"CLUB112"
14246,"CLUB111"
14251,"CLUB105"
14254,"CLUB125"
14256,"CLUB402"
14278,"CLUB111"
14288,"CLUB245"
14310,"CLUB401"
14311,"CLUB242"
14320,"CLUB410"
14327,"CLUB601"
14329,"CLUB402"
14339,"CLUB604"
14344,"CLUB133"
14352,"CLUB601"
14380,"CLUB213"
14396,"CLUB125"
14417,"CLUB604"
14428,"CLUB219"
14441,"CLUB123"
14443,"CLUB103"
14449,"CLUB245"
14450,"CLUB115"
14459,"CLUB105"
14462,"CLUB410"
14473,"CLUB237"
14511,"CLUB212"
14537,"CLUB109"
14544,"CLUB107"
14575,"CLUB115"
14611,"CLUB117"
14612,"CLUB245"
14613,"CLUB123"
14645,"CLUB132"
14651,"CLUB501"
14653,"CLUB135"
14659,"CLUB123"
14663,"CLUB111"
14664,"CLUB133"
14673,"CLUB111"
14676,"CLUB111"
14691,"CLUB109"
14702,"CLUB133"
14704,"CLUB402"
14730,"CLUB111"
14737,"CLUB105"
14739,"CLUB402"
14744,"CLUB402"
14753,"CLUB123"
14768,"CLUB123"
14769,"CLUB402"
14773,"CLUB501"
14774,"CLUB402"
14788,"CLUB118"
14822,"CLUB109"
14826,"CLUB264"
14864,"CLUB127"
14882,"CLUB402"
14890,"CLUB245"
14899,"CLUB128"
14918,"CLUB108"
14927,"CLUB233"
14943,"CLUB105"
14976,"CLUB503"
14977,"CLUB111"
14994,"CLUB410"
15014,"CLUB132"
15016,"CLUB245"
15019,"CLUB125"
15031,"CLUB111"
15033,"CLUB111"
15056,"CLUB123"
15057,"CLUB403"
15080,"CLUB604"
15094,"CLUB111"
15097,"CLUB604"
15108,"CLUB111"
15112,"CLUB602"
15113,"CLUB403"
15118,"CLUB221"
15128,"CLUB127"
15176,"CLUB122"
15184,"CLUB115"
15245,"CLUB132"
15248,"CLUB602"
15267,"CLUB245"
15274,"CLUB111"
15281,"CLUB420"
15304,"CLUB602"
15326,"CLUB132"
15338,"CLUB604"
15342,"CLUB108"
15343,"CLUB403"
15350,"CLUB245"
15352,"CLUB602"
15369,"CLUB105"
15377,"CLUB420"
15396,"CLUB133"
15397,"CLUB123"
15432,"CLUB115"
15441,"CLUB119"
15447,"CLUB115"
15449,"CLUB119"
15459,"CLUB134"
15464,"CLUB403"
15471,"CLUB111"
15476,"CLUB403"
15477,"CLUB105"
15481,"CLUB402"
15488,"CLUB602"
15498,"CLUB111"
15502,"CLUB245"
15541,"CLUB102"
15545,"CLUB111"
15559,"CLUB123"
15567,"CLUB602"
15571,"CLUB132"
15574,"CLUB111"
15577,"CLUB111"
15585,"CLUB115"
15587,"CLUB218"
15588,"CLUB124"
15612,"CLUB245"
15654,"CLUB111"
15658,"CLUB220"
15666,"CLUB111"
15667,"CLUB105"
15768,"CLUB128"
15770,"CLUB115"
15774,"CLUB111"
15789,"CLUB233"
15811,"CLUB101"
15833,"CLUB111"
15835,"CLUB413"
15845,"CLUB119"
15855,"CLUB602"
15858,"CLUB132"
15882,"CLUB413"
15924,"CLUB105"
15972,"CLUB242"
15976,"CLUB123"
15993,"CLUB111"
16002,"CLUB413"
16012,"CLUB413"
16021,"CLUB413"
16052,"CLUB135"
16053,"CLUB103"
16059,"CLUB602"
16061,"CLUB123"
16066,"CLUB132"
16116,"CLUB413"
16143,"CLUB111"
16154,"CLUB204"
16174,"CLUB125"
16176,"CLUB125"
16181,"CLUB101"
16186,"CLUB133"
16191,"CLUB201"
16207,"CLUB218"
16224,"CLUB111"
16246,"CLUB136"
16261,"CLUB413"
16272,"CLUB133"
16277,"CLUB503"
16300,"CLUB133"
16316,"CLUB111"
16317,"CLUB107"
16364,"CLUB117"
16371,"CLUB133"
16374,"CLUB128"
16385,"CLUB126"
16396,"CLUB119"
16413,"CLUB402"
16414,"CLUB132"
16424,"CLUB604"
16434,"CLUB402"
16446,"CLUB119"
16462,"CLUB111"
16472,"CLUB101"
16526,"CLUB133"
16547,"CLUB233"
16556,"CLUB115"
16566,"CLUB133"
16613,"CLUB132"
16619,"CLUB123"
16634,"CLUB211"
16637,"CLUB111"
16639,"CLUB132"
16662,"CLUB133"
16677,"CLUB402"
16698,"CLUB123"
16700,"CLUB109"
16738,"CLUB109"
16764,"CLUB134"
16820,"CLUB204"
16857,"CLUB402"
16928,"CLUB404"
16940,"CLUB134"
16944,"CLUB403"
16967,"CLUB111"
16975,"CLUB105"
17011,"CLUB135"
17058,"CLUB108"
17096,"CLUB108"
17100,"CLUB111"
17109,"CLUB132"
17127,"CLUB242"
17143,"CLUB111"
17180,"CLUB206"
17221,"CLUB132"
17225,"CLUB109"
17236,"CLUB420"
17255,"CLUB111"
17269,"CLUB111"
17355,"CLUB403"
17399,"CLUB111"
17411,"CLUB206"
17421,"CLUB242"
17431,"CLUB125"
17432,"CLUB111"
17436,"CLUB221"
17438,"CLUB123"
17455,"CLUB115"
17473,"CLUB111"
17516,"CLUB242"
17527,"CLUB109"
17541,"CLUB105"
17562,"CLUB221"
17563,"CLUB221"
17594,"CLUB132"
17597,"CLUB125"
17612,"CLUB115"
17640,"CLUB401"
17641,"CLUB119"
17650,"CLUB245"
17658,"CLUB109"
17669,"CLUB121"
17676,"CLUB249"
17687,"CLUB124"
17710,"CLUB245"
17722,"CLUB132"
17745,"CLUB132"
17747,"CLUB125"
17748,"CLUB402"
17774,"CLUB402"
17798,"CLUB219"
17804,"CLUB111"
17807,"CLUB134"
17809,"CLUB211"
17843,"CLUB218"
17891,"CLUB501"
17899,"CLUB501"
17902,"CLUB132"
17903,"CLUB245"
17906,"CLUB604"
17911,"CLUB109"
17912,"CLUB132"
17937,"CLUB211"
17943,"CLUB402"
17949,"CLUB123"
17979,"CLUB221"
17984,"CLUB401"
17991,"CLUB111"
17997,"CLUB133"
18008,"CLUB111"
18012,"CLUB218"
18013,"CLUB219"
18033,"CLUB245"
18034,"CLUB109"
18085,"CLUB123"
18090,"CLUB402"
18093,"CLUB249"
18096,"CLUB211"
18158,"CLUB111"
18159,"CLUB133"
18162,"CLUB105"
18178,"CLUB218"
18189,"CLUB602"
18195,"CLUB127"
18215,"CLUB264"
18237,"CLUB102"
18242,"CLUB111"
18247,"CLUB115"
18261,"CLUB109"
18289,"CLUB125"
18328,"CLUB501"
18333,"CLUB133"
18348,"CLUB132"
18360,"CLUB138"
18432,"CLUB402"
18497,"CLUB113"
18523,"CLUB134"
18533,"CLUB402"
18553,"CLUB107"
18595,"CLUB132"
18613,"CLUB123"
18616,"CLUB403"
18633,"CLUB211"
18675,"CLUB601"
18702,"CLUB101"
18733,"CLUB128"
18735,"CLUB132"
18757,"CLUB123"
18770,"CLUB209"
18807,"CLUB109"
18808,"CLUB125"
18879,"CLUB115"
18883,"CLUB111"
18890,"CLUB124"
18892,"CLUB402"
18908,"CLUB403"
18914,"CLUB111"
18917,"CLUB261"
18931,"CLUB113"
18953,"CLUB603"
18974,"CLUB107"
18977,"CLUB125"
19016,"CLUB134"
19050,"CLUB129"
19051,"CLUB122"
19097,"CLUB119"
19098,"CLUB111"
19103,"CLUB402"
19131,"CLUB403"
19159,"CLUB109"
19165,"CLUB402"
19219,"CLUB101"
19238,"CLUB402"
19241,"CLUB245"
19243,"CLUB123"
19258,"CLUB245"
19270,"CLUB402"
19283,"CLUB245"
19285,"CLUB105"
19314,"CLUB123"
19319,"CLUB129"
19326,"CLUB126"
19327,"CLUB413"
19346,"CLUB420"
19372,"CLUB108"
19382,"CLUB420"
19398,"CLUB402"
19407,"CLUB103"
19410,"CLUB111"
19530,"CLUB402"
19531,"CLUB103"
19551,"CLUB218"
19571,"CLUB233"
19576,"CLUB105"
19583,"CLUB420"
19615,"CLUB218"
19640,"CLUB242"
19653,"CLUB420"
