primary_key,LAST_OCCUPATION_42,LAST_EMP_TYPE,retirement_age
1235,"csp_6_7","cond16",62
1243,"csp_6_5","cond16",54
1253,"csp_6_5","cond16",60
1254,"csp_4_7","cond16",60
1259,"csp_4_7","cond16",56
1261,"csp_6_3","cond16",60
1264,"csp_6_2","cond16",65
1267,"csp_5_4","cond16",60
1282,"csp_5_4","cond16",64
1296,"csp_5_5","cond16",62
1297,"csp_5_2","cond16",60
1311,"csp_5_4","cond16",60
1318,"csp_3_7","cond16",60
1319,"csp_5_4","cond16",60
1322,"csp_5_3","cond16",63
1331,"csp_1_3","cond22",60
1335,"csp_6_7","cond16",60
1339,"csp_4_3","cond16",58
1340,"csp_5_6","cond16",60
1341,"csp_3_1","cond22",60
1344,"csp_6_4","cond16",60
1354,"csp_5_2","cond16",57
1364,"csp_6_2","cond16",60
1365,"csp_1_3","cond21",60
1368,"csp_5_4","cond16",57
1369,"csp_1_3","cond22",60
1387,"csp_5_2","cond16",59
1390,"csp_6_7","cond15",61
1401,"csp_5_6","cond16",63
1403,"csp_5_2","cond16",55
1409,"csp_5_4","cond16",63
1418,"csp_5_6","cond15",55
1420,"csp_6_2","cond16",56
1426,"csp_2_2","cond22",60
1465,"csp_5_4","cond16",60
1473,"csp_2_2","cond22",62
1476,"csp_3_4","cond16",60
1486,"csp_5_6","cond16",53
1497,"csp_4_3","cond16",60
1503,"csp_4_3","cond16",65
1505,"csp_5_6","cond16",64
1526,"csp_6_9","cond16",60
1529,"csp_6_4","cond16",65
1535,"csp_6_8","cond16",62
1537,"csp_5_4","cond16",61
1540,"csp_5_6","cond16",57
1554,"csp_4_3","cond16",65
1562,"csp_6_3","cond16",60
1564,"csp_6_8","cond16",60
1577,"csp_6_2","cond16",60
1586,"csp_6_8","cond16",56
1591,"csp_6_8","cond16",60
1597,"csp_5_6","cond16",65
1598,"csp_3_3","cond16",54
1600,"csp_5_4","cond16",60
1604,"csp_5_2","cond16",60
1610,"csp_5_4","cond12",61
1612,"csp_6_8","cond16",60
1616,"csp_6_7","cond16",60
1620,"csp_6_7","cond16",59
1622,"csp_5_6","cond16",61
1628,"csp_6_8","cond16",60
1630,"csp_3_8","cond16",55
1656,"csp_5_2","cond16",65
1660,"csp_6_8","cond16",55
1668,"csp_3_4","cond16",57
1687,"csp_5_2","cond16",55
1694,"csp_5_2","cond15",52
1705,"csp_5_4","cond16",60
1728,"csp_2_2","cond21",60
1734,"csp_6_8","cond16",54
1736,"csp_3_7","cond16",60
1742,"csp_4_6","cond16",60
1743,"csp_6_7","cond16",60
1757,"csp_6_5","cond16",65
1766,"csp_6_3","cond16",60
1781,"csp_4_7","cond16",59
1786,"csp_2_2","cond21",60
1792,"csp_6_8","cond16",56
1793,"csp_6_4","cond16",61
1795,"csp_5_2","cond16",65
1800,"csp_6_4","cond16",60
1803,"csp_4_6","cond16",56
1812,"csp_5_4","cond16",60
1816,"csp_4_5","cond16",60
1835,"csp_6_8","cond16",64
1836,"csp_4_7","cond15",65
1845,"csp_5_2","cond16",62
1866,"csp_6_7","cond16",64
1872,"csp_2_2","cond22",61
1878,"csp_4_6","cond16",55
1879,"csp_6_3","cond16",60
1884,"csp_5_2","cond16",58
1892,"csp_5_2","cond16",60
1903,"csp_4_6","cond16",65
1904,"csp_1_1","cond21",60
1918,"csp_5_4","cond16",60
1931,"csp_6_7","cond16",60
1938,"csp_6_2","cond16",61
1940,"csp_5_2","cond16",44
1949,"csp_3_1","cond22",65
1956,"csp_4_6","cond16",59
1958,"csp_1_1","cond21",60
1961,"csp_6_5","cond16",60
1963,"csp_5_2","cond16",59
1964,"csp_5_6","cond16",60
1966,"csp_6_8","cond16",65
1970,"csp_6_5","cond16",50
1974,"csp_1_3","cond22",63
1978,"csp_6_7","cond16",56
2007,"csp_3_3","cond16",60
2013,"csp_5_2","cond16",60
2021,"csp_2_2","cond21",60
2030,"csp_5_2","cond16",60
2031,"csp_4_8","cond16",60
2032,"csp_6_2","cond16",60
2036,"csp_2_1","cond21",60
2046,"csp_6_9","cond16",55
2052,"csp_5_5","cond16",64
2058,"csp_1_1","cond21",64
2060,"csp_5_5","cond16",60
2064,"csp_2_2","cond21",61
2068,"csp_6_5","cond16",60
2074,"csp_3_5","cond16",57
2084,"csp_6_7","cond16",56
2085,"csp_6_8","cond16",60
2088,"csp_6_7","cond16",60
2089,"csp_5_6","cond16",58
2099,"csp_1_1","cond21",63
2104,"csp_6_8","cond16",60
2109,"csp_4_3","cond16",65
2112,"csp_3_1","cond21",60
2119,"csp_3_1","cond22",60
2124,"csp_3_4","cond16",60
2128,"csp_4_3","cond16",60
2137,"csp_4_3","cond16",60
2148,"csp_4_7","cond16",59
2149,"csp_3_5","cond15",60
2151,"csp_5_2","cond15",65
2159,"csp_4_7","cond16",60
2164,"csp_6_7","cond16",55
2179,"csp_4_2","cond16",60
2186,"csp_1_1","cond21",59
2198,"csp_1_3","cond22",65
2206,"csp_6_8","cond16",58
2220,"csp_2_1","cond22",57
2221,"csp_2_2","cond22",64
2223,"csp_6_8","cond15",65
2224,"csp_4_8","cond16",54
2229,"csp_6_8","cond16",55
2230,"csp_1_1","cond21",59
2234,"csp_5_2","cond16",61
2235,"csp_4_5","cond16",65
2245,"csp_6_4","cond16",60
2252,"csp_4_3","cond16",60
2273,"csp_5_5","cond15",60
2281,"csp_5_6","cond16",65
2289,"csp_1_1","cond21",60
2292,"csp_5_2","cond15",56
2302,"csp_4_3","cond16",56
2311,"csp_3_8","cond16",60
2324,"csp_5_3","cond16",57
2328,"csp_3_8","cond16",57
2331,"csp_3_3","cond15",61
2356,"csp_6_8","cond16",58
2360,"csp_5_2","cond16",60
2366,"csp_3_8","cond16",60
2368,"csp_5_2","cond16",59
2370,"csp_3_3","cond16",60
2385,"csp_2_2","cond21",53
2397,"csp_2_1","cond21",54
2415,"csp_5_5","cond16",65
2416,"csp_5_2","cond15",55
2431,"csp_2_3","cond22",64
2435,"csp_5_2","cond16",64
2438,"csp_5_4","cond16",57
2440,"csp_5_2","cond16",65
2444,"csp_6_3","cond16",58
2445,"csp_4_6","cond16",65
2448,"csp_4_6","cond16",65
2451,"csp_3_7","cond16",58
2455,"csp_5_2","cond16",65
2457,"csp_5_2","cond16",60
2462,"csp_2_3","cond22",61
2463,"csp_4_5","cond16",51
2470,"csp_6_7","cond16",61
2476,"csp_4_3","cond16",60
2488,"csp_4_3","cond16",65
2489,"csp_6_4","cond16",59
2499,"csp_5_4","cond16",60
2500,"csp_4_6","cond16",60
2505,"csp_2_1","cond21",60
2506,"csp_5_4","cond15",60
2523,"csp_2_1","cond21",63
2530,"csp_4_7","cond16",62
2538,"csp_4_6","cond16",60
2542,"csp_4_5","cond16",60
2547,"csp_4_6","cond16",65
2552,"csp_5_5","cond16",60
2569,"csp_2_2","cond22",65
2578,"csp_2_2","cond21",65
2583,"csp_5_6","cond16",60
2598,"csp_3_3","cond16",60
2619,"csp_4_6","cond16",60
2625,"csp_6_8","cond16",61
2628,"csp_4_3","cond15",60
2631,"csp_6_3","cond16",60
2646,"csp_5_2","cond16",60
2664,"csp_6_8","cond16",59
2674,"csp_5_2","cond16",60
2679,"csp_6_5","cond16",60
2694,"csp_5_6","cond16",60
2697,"csp_5_4","cond16",59
2704,"csp_2_1","cond21",57
2710,"csp_2_2","cond21",61
2716,"csp_6_7","cond16",64
2721,"csp_5_5","cond16",58
2739,"csp_2_2","cond22",63
2740,"csp_5_6","cond16",60
2746,"csp_5_6","cond16",64
2759,"csp_5_4","cond16",60
2762,"csp_4_5","cond16",60
2766,"csp_5_5","cond16",60
2791,"csp_5_6","cond16",55
2793,"csp_1_1","cond21",57
2794,"csp_6_3","cond16",59
2810,"csp_6_7","cond16",65
2817,"csp_6_2","cond16",62
2822,"csp_1_1","cond22",65
2824,"csp_3_8","cond16",60
2831,"csp_5_2","cond16",60
2841,"csp_1_1","cond21",60
2843,"csp_5_2","cond16",65
2850,"csp_4_3","cond13",65
2851,"csp_6_3","cond12",60
2859,"csp_6_5","cond16",56
2863,"csp_6_8","cond15",60
2866,"csp_5_2","cond16",60
2875,"csp_4_5","cond16",60
2878,"csp_4_3","cond16",54
2880,"csp_4_3","cond15",60
2888,"csp_3_3","cond16",54
2913,"csp_6_8","cond16",56
2915,"csp_6_7","cond16",60
2922,"csp_4_3","cond16",60
2929,"csp_5_2","cond13",64
2932,"csp_3_3","cond16",55
2938,"csp_5_6","cond16",60
2939,"csp_6_2","cond16",57
2943,"csp_5_2","cond16",59
2955,"csp_4_6","cond16",60
2961,"csp_5_2","cond16",54
2965,"csp_6_7","cond16",60
2983,"csp_4_8","cond16",64
2985,"csp_4_3","cond16",60
2995,"csp_5_2","cond16",57
3004,"csp_6_5","cond12",60
3013,"csp_2_1","cond21",65
3022,"csp_5_4","cond16",60
3023,"csp_5_2","cond16",60
3036,"csp_6_9","cond15",60
3046,"csp_1_1","cond21",65
3048,"csp_5_6","cond16",65
3054,"csp_3_7","cond16",60
3058,"csp_4_3","cond16",65
3061,"csp_4_7","cond12",60
3072,"csp_5_2","cond16",60
3073,"csp_4_5","cond16",60
3084,"csp_5_5","cond16",65
3087,"csp_5_2","cond16",62
3094,"csp_3_3","cond16",60
3105,"csp_5_4","cond16",60
3135,"csp_5_2","cond15",63
3139,"csp_2_1","cond22",60
3140,"csp_3_1","cond21",60
3144,"csp_5_2","cond16",60
3145,"csp_3_7","cond16",65
3146,"csp_3_5","cond15",64
3147,"csp_5_2","cond16",60
3153,"csp_5_2","cond13",64
3154,"csp_6_7","cond16",64
3155,"csp_2_3","cond22",60
3156,"csp_5_4","cond16",55
3161,"csp_6_3","cond16",57
3172,"csp_6_8","cond16",56
3175,"csp_4_6","cond16",60
3185,"csp_5_2","cond16",60
3186,"csp_5_4","cond16",60
3189,"csp_2_1","cond22",60
3200,"csp_5_4","cond16",55
3203,"csp_2_1","cond22",65
3209,"csp_5_2","cond16",60
3214,"csp_5_5","cond16",54
3216,"csp_5_4","cond16",64
3218,"csp_3_8","cond16",61
3219,"csp_3_1","cond21",60
3226,"csp_5_4","cond15",63
3242,"csp_5_2","cond16",65
3245,"csp_5_2","cond16",60
3246,"csp_5_5","cond16",60
3252,"csp_5_4","cond16",54
3254,"csp_5_2","cond16",60
3267,"csp_5_4","cond16",60
3271,"csp_4_5","cond16",65
3273,"csp_5_2","cond16",60
3280,"csp_5_2","cond16",56
3312,"csp_5_5","cond16",60
3327,"csp_6_8","cond16",65
3334,"csp_1_1","cond21",50
3344,"csp_6_2","cond16",56
3352,"csp_2_1","cond21",62
3355,"csp_4_2","cond16",54
3357,"csp_5_4","cond12",60
3358,"csp_3_3","cond16",59
3374,"csp_2_2","cond21",62
3400,"csp_4_2","cond21",60
3406,"csp_4_6","cond16",60
3422,"csp_3_7","cond16",60
3429,"csp_3_7","cond16",65
3437,"csp_4_8","cond16",60
3438,"csp_5_4","cond16",60
3439,"csp_4_6","cond16",60
3442,"csp_2_2","cond22",65
3443,"csp_3_7","cond16",62
3444,"csp_2_2","cond21",60
3446,"csp_4_3","cond16",67
3451,"csp_1_3","cond22",60
3453,"csp_5_2","cond16",60
3460,"csp_4_7","cond16",60
3468,"csp_3_7","cond16",60
3470,"csp_6_3","cond16",63
3472,"csp_3_4","cond16",60
3489,"csp_1_1","cond21",64
3502,"csp_6_9","cond16",65
3508,"csp_2_2","cond22",60
3511,"csp_3_1","cond22",60
3513,"csp_2_3","cond22",60
3516,"csp_4_2","cond16",60
3528,"csp_3_1","cond21",60
3531,"csp_2_1","cond21",60
3535,"csp_4_5","cond16",56
3539,"csp_5_2","cond16",60
3549,"csp_2_1","cond21",58
3566,"csp_6_4","cond16",60
3577,"csp_5_6","cond15",65
3581,"csp_4_7","cond16",65
3583,"csp_5_6","cond16",54
3584,"csp_3_7","cond16",60
3585,"csp_5_2","cond16",60
3592,"csp_5_3","cond16",64
3593,"csp_6_7","cond16",63
3596,"csp_4_8","cond16",65
3606,"csp_6_9","cond16",56
3608,"csp_3_4","cond16",57
3615,"csp_5_2","cond16",55
3617,"csp_4_5","cond16",60
3619,"csp_6_3","cond16",58
3628,"csp_6_4","cond16",59
3630,"csp_6_3","cond15",60
3642,"csp_5_2","cond16",60
3643,"csp_6_8","cond15",65
3646,"csp_3_8","cond16",58
3659,"csp_5_2","cond15",58
3660,"csp_5_2","cond16",64
3665,"csp_3_3","cond16",56
3666,"csp_2_3","cond22",60
3674,"csp_2_3","cond22",56
3678,"csp_4_6","cond16",63
3679,"csp_4_5","cond16",65
3682,"csp_5_3","cond16",65
3685,"csp_3_3","cond16",65
3693,"csp_6_8","cond16",58
3694,"csp_5_5","cond16",60
3710,"csp_3_7","cond16",60
3726,"csp_4_6","cond21",52
3733,"csp_2_1","cond22",58
3755,"csp_6_9","cond16",60
3769,"csp_4_4","cond15",53
3779,"csp_6_2","cond16",54
3782,"csp_5_6","cond16",55
3792,"csp_4_3","cond16",60
3793,"csp_5_2","cond16",60
3811,"csp_6_7","cond16",60
3813,"csp_5_2","cond16",60
3817,"csp_4_3","cond16",60
3829,"csp_5_6","cond16",61
3843,"csp_5_2","cond16",60
3844,"csp_4_5","cond16",58
3847,"csp_6_9","cond15",60
3850,"csp_5_4","cond16",57
3853,"csp_2_1","cond21",60
3859,"csp_4_8","cond16",63
3875,"csp_3_8","cond16",60
3881,"csp_2_1","cond21",60
3884,"csp_3_7","cond16",60
3888,"csp_6_5","cond16",60
3904,"csp_5_2","cond16",60
3910,"csp_4_8","cond16",65
3912,"csp_4_3","cond16",56
3928,"csp_5_4","cond16",60
3935,"csp_3_3","cond16",63
3936,"csp_5_6","cond13",60
3938,"csp_4_6","cond16",64
3940,"csp_5_2","cond16",58
3941,"csp_2_3","cond22",60
3956,"csp_4_6","cond16",65
3957,"csp_6_9","cond15",60
3966,"csp_3_1","cond22",60
3970,"csp_2_3","cond22",54
4013,"csp_1_1","cond21",60
4019,"csp_5_5","cond16",64
4021,"csp_5_3","cond16",60
4022,"csp_5_2","cond16",60
4024,"csp_6_5","cond16",58
4026,"csp_4_6","cond16",65
4032,"csp_5_5","cond16",60
4033,"csp_5_2","cond16",65
4037,"csp_4_2","cond16",65
4052,"csp_5_4","cond16",60
4057,"csp_4_6","cond16",60
4079,"csp_5_4","cond16",60
4084,"csp_5_5","cond16",60
4100,"csp_5_2","cond16",60
4109,"csp_4_2","cond16",60
4116,"csp_4_5","cond16",65
4135,"csp_4_5","cond16",64
4137,"csp_6_7","cond16",66
4138,"csp_5_3","cond16",60
4140,"csp_3_7","cond16",60
4144,"csp_6_9","cond15",60
4150,"csp_4_5","cond16",65
4157,"csp_4_7","cond16",60
4162,"csp_5_4","cond16",65
4178,"csp_6_5","cond16",66
4199,"csp_6_3","cond16",60
4209,"csp_6_4","cond16",55
4214,"csp_5_2","cond16",60
4219,"csp_3_7","cond16",65
4222,"csp_6_8","cond15",62
4247,"csp_6_8","cond16",60
4249,"csp_5_6","cond16",65
4251,"csp_6_4","cond16",57
4253,"csp_4_3","cond16",64
4257,"csp_4_5","cond16",60
4289,"csp_5_6","cond16",60
4291,"csp_5_2","cond16",56
4301,"csp_5_2","cond16",60
4304,"csp_5_6","cond16",60
4305,"csp_5_6","cond15",60
4310,"csp_4_6","cond15",60
4311,"csp_5_5","cond16",65
4317,"csp_5_2","cond16",60
4319,"csp_4_3","cond21",60
4324,"csp_5_2","cond16",55
4330,"csp_5_2","cond13",60
4331,"csp_4_6","cond16",60
4347,"csp_6_2","cond16",60
4348,"csp_4_6","cond16",59
4349,"csp_2_1","cond21",60
4351,"csp_5_2","cond16",60
4366,"csp_6_7","cond16",60
4372,"csp_6_3","cond16",56
4375,"csp_3_4","cond16",60
4383,"csp_5_2","cond16",60
4386,"csp_4_2","cond21",64
4388,"csp_3_1","cond22",65
4390,"csp_6_7","cond16",55
4397,"csp_5_3","cond16",60
4400,"csp_5_2","cond16",63
4416,"csp_4_3","cond16",60
4422,"csp_5_4","cond16",65
4425,"csp_6_4","cond16",57
4429,"csp_2_2","cond21",60
4431,"csp_6_9","cond16",62
4437,"csp_4_8","cond16",59
4442,"csp_4_7","cond16",65
4444,"csp_6_3","cond16",60
4447,"csp_5_6","cond16",60
4448,"csp_5_2","cond16",60
4449,"csp_5_6","cond16",56
4454,"csp_4_7","cond16",60
4466,"csp_5_2","cond16",60
4468,"csp_4_6","cond16",60
4473,"csp_3_3","cond16",60
4477,"csp_5_2","cond15",65
4478,"csp_5_6","cond15",65
4483,"csp_4_6","cond16",60
4506,"csp_6_4","cond16",53
4522,"csp_4_3","cond16",60
4523,"csp_5_4","cond16",60
4525,"csp_5_2","cond16",65
4528,"csp_5_2","cond16",60
4541,"csp_6_7","cond16",65
4542,"csp_1_3","cond22",62
4545,"csp_6_2","cond16",60
4547,"csp_3_7","cond15",60
4557,"csp_6_9","cond16",58
4560,"csp_2_2","cond21",60
4562,"csp_4_6","cond16",60
4582,"csp_5_6","cond16",60
4585,"csp_4_8","cond16",64
4586,"csp_6_5","cond16",60
4592,"csp_4_3","cond16",60
4593,"csp_5_2","cond16",60
4602,"csp_5_6","cond15",60
4604,"csp_6_4","cond16",63
4606,"csp_4_6","cond16",60
4607,"csp_6_3","cond16",60
4610,"csp_6_2","cond16",60
4611,"csp_5_2","cond16",60
4622,"csp_6_3","cond16",60
4627,"csp_5_6","cond16",60
4629,"csp_5_6","cond15",60
4632,"csp_5_2","cond16",65
4636,"csp_2_2","cond21",59
4647,"csp_6_3","cond16",55
4649,"csp_6_7","cond16",60
4660,"csp_6_2","cond16",54
4666,"csp_5_2","cond16",60
4667,"csp_4_2","cond16",55
4668,"csp_1_1","cond21",60
4669,"csp_5_2","cond16",60
4691,"csp_2_1","cond21",56
4695,"csp_5_2","cond16",60
4701,"csp_5_6","cond16",56
4717,"csp_5_6","cond16",60
4722,"csp_6_8","cond16",57
4724,"csp_5_6","cond16",60
4731,"csp_5_2","cond16",60
4735,"csp_5_2","cond16",60
4738,"csp_5_5","cond16",61
4748,"csp_1_1","cond21",60
4749,"csp_6_9","cond15",65
4753,"csp_1_1","cond21",60
4770,"csp_4_6","cond16",56
4771,"csp_5_2","cond13",53
4778,"csp_5_5","cond16",58
4792,"csp_6_5","cond16",60
4798,"csp_5_2","cond16",65
4815,"csp_6_2","cond12",58
4821,"csp_5_5","cond15",61
4840,"csp_5_5","cond15",69
4841,"csp_4_7","cond16",60
4847,"csp_6_3","cond16",60
4848,"csp_5_4","cond16",65
4849,"csp_3_7","cond16",60
4860,"csp_1_2","cond21",65
4866,"csp_6_2","cond16",60
4877,"csp_1_1","cond21",63
4888,"csp_4_6","cond16",56
4889,"csp_3_3","cond16",56
4891,"csp_6_9","cond16",60
4904,"csp_6_8","cond15",65
4916,"csp_5_5","cond16",65
4931,"csp_5_2","cond16",60
4933,"csp_5_2","cond16",60
4941,"csp_3_1","cond16",60
4944,"csp_5_6","cond15",60
4946,"csp_6_4","cond16",60
4958,"csp_2_2","cond21",60
4960,"csp_5_2","cond16",60
4963,"csp_5_2","cond16",60
4964,"csp_6_7","cond16",60
4991,"csp_2_2","cond21",60
4995,"csp_6_2","cond16",60
4996,"csp_5_2","cond16",60
5000,"csp_3_4","cond16",61
5014,"csp_3_4","cond16",60
5021,"csp_4_5","cond16",60
5027,"csp_4_2","cond16",55
5032,"csp_1_1","cond21",60
5033,"csp_5_5","cond16",60
5045,"csp_6_2","cond15",65
5049,"csp_3_7","cond16",60
5052,"csp_2_1","cond21",60
5062,"csp_4_3","cond16",60
5071,"csp_4_7","cond16",60
5073,"csp_5_6","cond15",60
5074,"csp_5_2","cond16",53
5075,"csp_4_2","cond16",65
5080,"csp_5_2","cond16",65
5099,"csp_6_2","cond16",60
5110,"csp_2_1","cond22",59
5113,"csp_6_8","cond16",60
5125,"csp_2_2","cond21",50
5129,"csp_6_4","cond16",60
5138,"csp_5_4","cond16",65
5140,"csp_5_2","cond16",60
5143,"csp_6_7","cond16",59
5148,"csp_6_2","cond16",60
5155,"csp_5_5","cond16",54
5157,"csp_5_4","cond16",55
5160,"csp_6_2","cond16",65
5164,"csp_6_8","cond15",63
5165,"csp_4_3","cond16",63
5170,"csp_1_1","cond21",60
5176,"csp_4_5","cond16",60
5180,"csp_6_3","cond16",58
5188,"csp_6_4","cond16",60
5197,"csp_6_2","cond16",63
5204,"csp_4_6","cond16",60
5207,"csp_6_2","cond16",60
5221,"csp_5_3","cond16",60
5223,"csp_6_7","cond16",65
5224,"csp_3_7","cond16",60
5229,"csp_5_6","cond16",60
5235,"csp_3_3","cond16",62
5247,"csp_6_4","cond16",55
5251,"csp_4_7","cond16",60
5260,"csp_4_2","cond16",60
5261,"csp_4_6","cond16",55
5263,"csp_6_2","cond16",60
5267,"csp_6_7","cond16",60
5273,"csp_5_2","cond16",60
5275,"csp_5_4","cond16",55
5280,"csp_6_8","cond16",60
5283,"csp_6_7","cond15",61
5284,"csp_5_2","cond16",60
5299,"csp_5_2","cond16",60
5302,"csp_5_6","cond16",60
5305,"csp_5_2","cond16",60
5306,"csp_6_4","cond16",60
5309,"csp_5_2","cond16",65
5314,"csp_5_6","cond16",60
5316,"csp_6_8","cond16",59
5321,"csp_3_1","cond21",60
5324,"csp_5_5","cond16",60
5325,"csp_6_8","cond13",65
5326,"csp_6_4","cond16",53
5353,"csp_3_3","cond16",60
5356,"csp_4_3","cond16",59
5363,"csp_5_2","cond16",56
5365,"csp_4_3","cond16",65
5387,"csp_2_2","cond21",60
5394,"csp_6_3","cond16",65
5421,"csp_6_2","cond15",60
5436,"csp_6_7","cond16",60
5440,"csp_5_6","cond16",60
5441,"csp_2_1","cond21",65
5443,"csp_5_4","cond16",60
5450,"csp_3_8","cond16",60
5451,"csp_5_6","cond16",65
5453,"csp_6_4","cond16",60
5459,"csp_2_1","cond21",60
5461,"csp_2_1","cond21",64
5463,"csp_5_2","cond16",63
5471,"csp_2_3","cond22",55
5472,"csp_1_1","cond21",60
5478,"csp_5_6","cond16",60
5483,"csp_2_1","cond22",60
5486,"csp_5_6","cond16",61
5489,"csp_5_6","cond16",65
5490,"csp_2_1","cond21",53
5501,"csp_5_6","cond16",64
5505,"csp_2_1","cond22",58
5517,"csp_4_8","cond16",57
5518,"csp_3_8","cond16",60
5521,"csp_5_4","cond16",60
5523,"csp_1_1","cond21",60
5529,"csp_3_7","cond16",53
5531,"csp_3_1","cond22",60
5536,"csp_3_1","cond21",58
