primary_key,EMP_TYPE
2577,"cond16"
2580,"cond15"
2584,"cond11"
2588,"cond16"
2590,"cond16"
2600,"cond21"
2604,"cond16"
2607,"cond16"
2618,"cond16"
2620,"cond16"
2629,"cond16"
2630,"cond15"
2632,"cond16"
2635,"cond16"
2637,"cond16"
2640,"cond16"
2642,"cond16"
2643,"cond16"
2651,"cond16"
2652,"cond16"
2653,"cond16"
2654,"cond16"
2656,"cond21"
2657,"cond16"
2658,"cond16"
2659,"cond15"
2665,"cond16"
2669,"cond21"
2670,"cond16"
2672,"cond13"
2677,"cond16"
2682,"cond16"
2685,"cond16"
2688,"cond16"
2695,"cond16"
2696,"cond16"
2698,"cond16"
2699,"cond15"
2702,"cond16"
2707,"cond21"
2708,"cond16"
2718,"cond16"
2729,"cond21"
2733,"cond16"
2736,"cond15"
2742,"cond16"
2751,"cond16"
2752,"cond16"
2756,"cond16"
2761,"cond16"
2764,"cond15"
2767,"cond16"
2776,"cond15"
2777,"cond16"
2778,"cond16"
2780,"cond16"
2784,"cond16"
2795,"cond16"
2802,"cond16"
2813,"cond16"
2816,"cond15"
2820,"cond21"
2825,"cond21"
2826,"cond16"
2829,"cond15"
2835,"cond16"
2840,"cond16"
2854,"cond11"
2865,"cond16"
2869,"cond16"
2877,"cond15"
2879,"cond22"
2882,"cond16"
2885,"cond16"
2894,"cond16"
2897,"cond15"
2899,"cond16"
2903,"cond21"
2912,"cond16"
2916,"cond16"
2917,"cond16"
2924,"cond16"
2925,"cond15"
2928,"cond16"
2936,"cond16"
2941,"cond16"
2949,"cond16"
2952,"cond16"
2953,"cond16"
2954,"cond16"
2956,"cond16"
2960,"cond21"
2968,"cond16"
2969,"cond16"
2970,"cond16"
2976,"cond16"
2982,"cond16"
2988,"cond16"
2989,"cond21"
2994,"cond16"
2998,"cond16"
3007,"cond16"
3008,"cond16"
3016,"cond16"
3019,"cond16"
3021,"cond16"
3029,"cond16"
3037,"cond16"
3038,"cond16"
3039,"cond16"
3043,"cond16"
3055,"cond16"
3056,"cond16"
3057,"cond16"
3060,"cond22"
3064,"cond16"
3066,"cond16"
3067,"cond16"
3070,"cond16"
3076,"cond21"
3078,"cond16"
3081,"cond16"
3082,"cond16"
3088,"cond16"
3091,"cond16"
3093,"cond16"
3104,"cond16"
3109,"cond16"
3110,"cond16"
3111,"cond22"
3112,"cond16"
3117,"cond21"
3122,"cond22"
3123,"cond16"
3125,"cond21"
3131,"cond16"
3136,"cond16"
3141,"cond16"
3152,"cond21"
3164,"cond16"
3165,"cond16"
3174,"cond16"
3176,"cond16"
3177,"cond16"
3179,"cond15"
3184,"cond16"
3187,"cond16"
3191,"cond15"
3194,"cond16"
3195,"cond16"
3199,"cond16"
3205,"cond16"
3215,"cond16"
3224,"cond16"
3225,"cond16"
3229,"cond21"
3235,"cond16"
3237,"cond16"
3244,"cond16"
3249,"cond16"
3250,"cond16"
3256,"cond16"
3258,"cond15"
3260,"cond16"
3268,"cond16"
3274,"cond15"
3275,"cond16"
3276,"cond16"
3282,"cond15"
3283,"cond16"
3285,"cond16"
3286,"cond16"
3288,"cond21"
3291,"cond16"
3292,"cond16"
3302,"cond16"
3303,"cond16"
3306,"cond21"
3313,"cond16"
3315,"cond22"
3316,"cond16"
3321,"cond16"
3323,"cond16"
3330,"cond16"
3331,"cond16"
3332,"cond16"
3333,"cond16"
3335,"cond16"
3347,"cond16"
3350,"cond16"
3360,"cond16"
3361,"cond15"
3373,"cond21"
3377,"cond15"
3380,"cond16"
3381,"cond16"
3382,"cond12"
3384,"cond16"
3387,"cond16"
3389,"cond16"
3397,"cond15"
3401,"cond16"
3404,"cond16"
3417,"cond16"
3419,"cond16"
3425,"cond16"
3428,"cond15"
3447,"cond16"
3448,"cond16"
3456,"cond16"
3457,"cond16"
3459,"cond16"
3466,"cond16"
3473,"cond16"
3492,"cond16"
3494,"cond22"
3499,"cond11"
3506,"cond21"
3509,"cond16"
3514,"cond15"
3517,"cond16"
3522,"cond22"
3523,"cond16"
3537,"cond16"
3546,"cond21"
3548,"cond15"
3554,"cond12"
3558,"cond16"
3561,"cond16"
3562,"cond21"
3563,"cond16"
3564,"cond16"
3569,"cond16"
3587,"cond15"
3589,"cond16"
3600,"cond16"
3609,"cond15"
3613,"cond21"
3616,"cond16"
3622,"cond21"
3623,"cond16"
3626,"cond16"
3633,"cond11"
3635,"cond16"
3647,"cond16"
3657,"cond16"
3669,"cond16"
3672,"cond16"
3680,"cond22"
3681,"cond16"
3683,"cond16"
3686,"cond16"
3695,"cond16"
3698,"cond16"
3700,"cond16"
3703,"cond22"
3709,"cond16"
3711,"cond21"
3713,"cond16"
3716,"cond22"
3723,"cond13"
3727,"cond16"
3730,"cond15"
3737,"cond22"
3741,"cond16"
3756,"cond16"
3757,"cond16"
3763,"cond16"
3767,"cond16"
3774,"cond16"
3776,"cond16"
3784,"cond15"
3785,"cond16"
3789,"cond16"
3798,"cond16"
3800,"cond16"
3802,"cond22"
3803,"cond12"
3807,"cond12"
3809,"cond16"
3812,"cond16"
3815,"cond21"
3818,"cond21"
3819,"cond16"
3824,"cond16"
3825,"cond16"
3826,"cond22"
3828,"cond16"
3848,"cond15"
3860,"cond16"
3861,"cond12"
3866,"cond16"
3871,"cond16"
3877,"cond16"
3879,"cond16"
3880,"cond16"
3889,"cond16"
3891,"cond16"
3892,"cond16"
3895,"cond13"
3898,"cond16"
3900,"cond16"
3901,"cond16"
3905,"cond16"
3907,"cond16"
3908,"cond16"
3909,"cond16"
3914,"cond16"
3918,"cond16"
3919,"cond16"
3922,"cond16"
3926,"cond21"
3927,"cond16"
3931,"cond21"
3932,"cond22"
3937,"cond16"
3942,"cond21"
3960,"cond16"
3964,"cond16"
3972,"cond16"
3974,"cond16"
3983,"cond11"
3986,"cond16"
3990,"cond21"
3992,"cond16"
3997,"cond16"
3998,"cond16"
4001,"cond21"
4011,"cond16"
4016,"cond16"
4027,"cond16"
4028,"cond16"
4030,"cond21"
4035,"cond16"
4036,"cond15"
4044,"cond16"
4045,"cond16"
4055,"cond16"
4066,"cond16"
4071,"cond16"
4076,"cond16"
4080,"cond15"
4083,"cond16"
4088,"cond16"
4089,"cond21"
4091,"cond15"
4097,"cond16"
4098,"cond16"
4105,"cond16"
4112,"cond16"
4113,"cond16"
4122,"cond21"
4125,"cond16"
4126,"cond16"
4129,"cond16"
4130,"cond21"
4143,"cond16"
4146,"cond16"
4153,"cond16"
4166,"cond16"
4171,"cond16"
4173,"cond21"
4175,"cond16"
4176,"cond16"
4179,"cond16"
4180,"cond16"
4181,"cond16"
4182,"cond16"
4183,"cond16"
4184,"cond16"
4186,"cond21"
4188,"cond21"
4193,"cond22"
4197,"cond16"
4200,"cond11"
4202,"cond16"
4211,"cond21"
4215,"cond16"
4216,"cond16"
4229,"cond16"
4231,"cond16"
4233,"cond16"
4238,"cond16"
4239,"cond15"
4243,"cond13"
4245,"cond16"
4258,"cond16"
4260,"cond21"
4263,"cond21"
4264,"cond16"
4267,"cond22"
4269,"cond16"
4271,"cond21"
4282,"cond21"
4284,"cond16"
4286,"cond16"
4292,"cond16"
4312,"cond16"
4320,"cond16"
4325,"cond21"
4328,"cond16"
4333,"cond16"
4334,"cond16"
4338,"cond16"
4339,"cond16"
4341,"cond21"
4342,"cond16"
4343,"cond16"
4345,"cond16"
4346,"cond16"
4356,"cond16"
4358,"cond16"
4359,"cond16"
4363,"cond21"
4365,"cond16"
4368,"cond16"
4369,"cond15"
4371,"cond16"
4378,"cond16"
4379,"cond16"
4380,"cond16"
4391,"cond15"
4396,"cond16"
4398,"cond14"
4399,"cond16"
4401,"cond16"
4403,"cond21"
4412,"cond16"
4414,"cond16"
4417,"cond22"
4419,"cond16"
4423,"cond21"
4424,"cond16"
4441,"cond21"
4459,"cond15"
4460,"cond21"
4462,"cond16"
4472,"cond22"
4474,"cond16"
4482,"cond16"
4485,"cond16"
4488,"cond16"
4491,"cond22"
4496,"cond21"
4503,"cond15"
4504,"cond16"
4510,"cond16"
4513,"cond22"
4515,"cond16"
4516,"cond11"
4517,"cond21"
4519,"cond15"
4535,"cond16"
4536,"cond16"
4538,"cond16"
4543,"cond16"
4544,"cond16"
4548,"cond16"
4549,"cond16"
4551,"cond16"
4552,"cond15"
4555,"cond16"
4559,"cond16"
4565,"cond16"
4575,"cond15"
4579,"cond16"
4581,"cond16"
4583,"cond14"
4587,"cond16"
4588,"cond16"
4590,"cond16"
4598,"cond21"
4609,"cond16"
4619,"cond16"
4620,"cond16"
4631,"cond12"
4641,"cond22"
4645,"cond16"
4650,"cond16"
4655,"cond16"
4657,"cond16"
4658,"cond16"
4659,"cond16"
4677,"cond16"
4678,"cond16"
4690,"cond16"
4700,"cond15"
4703,"cond16"
4704,"cond16"
4705,"cond16"
4711,"cond16"
4712,"cond16"
4716,"cond16"
4718,"cond16"
4720,"cond16"
4729,"cond16"
4733,"cond16"
4734,"cond16"
4741,"cond16"
4746,"cond16"
4768,"cond15"
4777,"cond16"
4779,"cond11"
4780,"cond21"
4781,"cond15"
4782,"cond16"
4785,"cond16"
4786,"cond16"
4791,"cond16"
4793,"cond16"
4799,"cond15"
4812,"cond21"
4814,"cond16"
4816,"cond16"
4819,"cond22"
4825,"cond16"
4829,"cond16"
4831,"cond16"
4833,"cond22"
4839,"cond12"
4842,"cond16"
4844,"cond16"
4850,"cond16"
4852,"cond16"
4864,"cond16"
4868,"cond16"
4887,"cond16"
4892,"cond16"
4894,"cond16"
4900,"cond16"
4903,"cond16"
4910,"cond16"
4921,"cond16"
4922,"cond15"
4927,"cond16"
4935,"cond21"
4938,"cond15"
4945,"cond16"
4947,"cond16"
4949,"cond16"
4950,"cond16"
4951,"cond16"
4959,"cond16"
4961,"cond16"
4962,"cond15"
4965,"cond16"
4967,"cond16"
4970,"cond16"
4971,"cond16"
4972,"cond16"
4973,"cond15"
4976,"cond16"
4978,"cond15"
4979,"cond16"
4983,"cond21"
4993,"cond15"
4999,"cond16"
5006,"cond16"
5008,"cond16"
5009,"cond16"
5010,"cond16"
5018,"cond15"
5019,"cond16"
5022,"cond22"
5024,"cond16"
5039,"cond15"
5043,"cond16"
5044,"cond16"
5046,"cond16"
5050,"cond16"
5053,"cond16"
5060,"cond16"
5069,"cond16"
5070,"cond16"
5072,"cond16"
5077,"cond16"
5082,"cond16"
5089,"cond16"
5096,"cond16"
5097,"cond16"
5101,"cond16"
5102,"cond16"
5108,"cond16"
5109,"cond16"
5111,"cond16"
5112,"cond16"
5115,"cond16"
5116,"cond16"
5118,"cond21"
5122,"cond16"
5124,"cond16"
5128,"cond15"
5130,"cond16"
5133,"cond12"
5137,"cond22"
5139,"cond16"
5141,"cond21"
5144,"cond16"
5150,"cond16"
5161,"cond16"
5166,"cond16"
5172,"cond16"
5174,"cond16"
5177,"cond21"
5178,"cond16"
5186,"cond16"
5187,"cond16"
5191,"cond15"
5203,"cond16"
5206,"cond22"
5208,"cond16"
5214,"cond21"
5215,"cond16"
5222,"cond15"
5225,"cond21"
5227,"cond16"
5234,"cond16"
5241,"cond16"
5244,"cond16"
5250,"cond16"
5255,"cond16"
5258,"cond22"
5268,"cond21"
5269,"cond16"
5272,"cond15"
5281,"cond16"
5286,"cond16"
5292,"cond16"
5293,"cond16"
5296,"cond16"
5300,"cond22"
5317,"cond16"
5319,"cond16"
5320,"cond16"
5322,"cond16"
5332,"cond16"
5337,"cond16"
5338,"cond16"
5339,"cond16"
5340,"cond15"
5342,"cond16"
5347,"cond16"
5350,"cond16"
5354,"cond15"
5357,"cond16"
5366,"cond16"
5369,"cond16"
5372,"cond16"
5374,"cond16"
5375,"cond15"
5378,"cond16"
5379,"cond16"
5382,"cond16"
5383,"cond16"
5384,"cond16"
5386,"cond16"
5391,"cond15"
5396,"cond16"
5397,"cond15"
5407,"cond16"
5410,"cond16"
5411,"cond22"
5417,"cond16"
5418,"cond16"
5420,"cond16"
5428,"cond22"
5429,"cond16"
5437,"cond21"
5445,"cond16"
5466,"cond16"
5468,"cond16"
5475,"cond16"
5476,"cond16"
5479,"cond21"
5482,"cond16"
5484,"cond16"
5491,"cond16"
5494,"cond15"
5497,"cond21"
5502,"cond16"
5508,"cond16"
5513,"cond16"
5514,"cond16"
5533,"cond16"
5538,"cond16"
5540,"cond16"
5545,"cond16"
5548,"cond22"
5554,"cond16"
5557,"cond16"
5560,"cond16"
5563,"cond22"
5578,"cond16"
5593,"cond16"
5602,"cond16"
5606,"cond16"
5611,"cond16"
5621,"cond15"
5622,"cond16"
5630,"cond16"
5631,"cond16"
5636,"cond11"
5638,"cond16"
5644,"cond16"
5656,"cond16"
5659,"cond21"
5668,"cond16"
5670,"cond16"
5677,"cond22"
5678,"cond16"
5687,"cond16"
5693,"cond12"
5696,"cond16"
5697,"cond16"
5703,"cond15"
5715,"cond16"
5719,"cond16"
5738,"cond16"
5739,"cond16"
5740,"cond14"
5741,"cond16"
5744,"cond21"
5751,"cond15"
5753,"cond15"
5759,"cond16"
5777,"cond16"
5779,"cond16"
5784,"cond16"
5789,"cond16"
5790,"cond16"
5791,"cond16"
5792,"cond16"
5794,"cond16"
5795,"cond16"
5805,"cond16"
5813,"cond16"
5814,"cond16"
5817,"cond15"
5832,"cond16"
5836,"cond16"
5838,"cond16"
5843,"cond16"
5849,"cond22"
5850,"cond16"
5852,"cond16"
5858,"cond16"
5865,"cond16"
5877,"cond15"
5878,"cond16"
5884,"cond16"
5886,"cond16"
5889,"cond12"
5891,"cond16"
5892,"cond16"
5893,"cond16"
5897,"cond11"
5901,"cond15"
5913,"cond16"
5914,"cond16"
5925,"cond16"
5950,"cond16"
5954,"cond16"
5958,"cond16"
5961,"cond22"
5965,"cond16"
5975,"cond16"
5986,"cond21"
5990,"cond21"
5991,"cond21"
5993,"cond15"
5995,"cond16"
6001,"cond16"
6005,"cond16"
6021,"cond16"
6022,"cond16"
6023,"cond15"
6040,"cond16"
6052,"cond16"
6053,"cond16"
6060,"cond15"
6065,"cond16"
6080,"cond16"
6089,"cond16"
6098,"cond16"
6112,"cond16"
6118,"cond16"
6126,"cond16"
6127,"cond16"
6130,"cond16"
6132,"cond15"
6133,"cond15"
6136,"cond16"
6139,"cond16"
6146,"cond16"
6150,"cond16"
6152,"cond16"
6156,"cond16"
6159,"cond12"
6161,"cond15"
6162,"cond16"
6163,"cond16"
6167,"cond16"
6168,"cond16"
6185,"cond16"
6190,"cond21"
6191,"cond16"
6193,"cond15"
6196,"cond16"
6209,"cond16"
6214,"cond16"
6222,"cond21"
6226,"cond16"
6229,"cond16"
6238,"cond16"
6245,"cond16"
6250,"cond15"
6254,"cond16"
6259,"cond16"
6266,"cond16"
6267,"cond16"
6269,"cond15"
6273,"cond16"
6274,"cond16"
6281,"cond22"
6283,"cond16"
6288,"cond16"
6294,"cond16"
6295,"cond16"
6297,"cond16"
6299,"cond16"
6306,"cond16"
6308,"cond16"
6315,"cond16"
6317,"cond16"
6319,"cond16"
6321,"cond16"
6332,"cond16"
6333,"cond15"
6336,"cond21"
6342,"cond16"
6345,"cond21"
6349,"cond16"
6362,"cond21"
6367,"cond21"
6372,"cond16"
6379,"cond16"
6381,"cond22"
6385,"cond16"
6395,"cond16"
6396,"cond16"
6397,"cond15"
6404,"cond13"
6409,"cond16"
6422,"cond21"
6429,"cond13"
6434,"cond16"
6446,"cond16"
6451,"cond16"
6456,"cond16"
6463,"cond15"
6465,"cond15"
6475,"cond16"
6483,"cond21"
6489,"cond16"
6492,"cond16"
6493,"cond16"
6496,"cond16"
6499,"cond16"
6501,"cond16"
6504,"cond22"
6505,"cond16"
6506,"cond16"
6508,"cond13"
6521,"cond16"
6524,"cond21"
6526,"cond16"
6529,"cond15"
6530,"cond16"
6540,"cond16"
6543,"cond15"
6550,"cond22"
6555,"cond21"
6556,"cond16"
6563,"cond16"
6569,"cond16"
6570,"cond16"
6578,"cond16"
6585,"cond16"
6589,"cond16"
6592,"cond16"
6595,"cond16"
6599,"cond16"
6602,"cond15"
6608,"cond21"
6615,"cond11"
6620,"cond12"
6623,"cond15"
6625,"cond16"
6627,"cond16"
6628,"cond16"
6629,"cond16"
6640,"cond21"
6643,"cond16"
6647,"cond16"
6650,"cond15"
6659,"cond16"
6671,"cond16"
6673,"cond16"
6681,"cond16"
6685,"cond16"
6687,"cond16"
6689,"cond16"
6698,"cond16"
6705,"cond16"
6707,"cond21"
6712,"cond16"
6719,"cond16"
6721,"cond16"
6722,"cond16"
6724,"cond22"
6726,"cond15"
6736,"cond16"
6737,"cond16"
6739,"cond16"
6742,"cond16"
6743,"cond16"
6746,"cond16"
6747,"cond16"
6750,"cond16"
6752,"cond12"
6754,"cond22"
6758,"cond16"
6766,"cond16"
6772,"cond15"
6782,"cond16"
6792,"cond16"
6799,"cond15"
6802,"cond16"
6803,"cond16"
6805,"cond16"
6812,"cond13"
6826,"cond16"
6831,"cond16"
6833,"cond15"
6835,"cond16"
6842,"cond16"
6844,"cond15"
6846,"cond16"
6847,"cond16"
6855,"cond16"
6870,"cond22"
6871,"cond16"
6874,"cond16"
6875,"cond16"
6878,"cond16"
6879,"cond15"
6888,"cond16"
6893,"cond16"
6895,"cond15"
6896,"cond15"
6900,"cond15"
6908,"cond16"
6909,"cond11"
6911,"cond16"
6912,"cond15"
6915,"cond16"
6926,"cond16"
6928,"cond16"
6934,"cond22"
6935,"cond16"
6940,"cond16"
6944,"cond15"
6947,"cond16"
6950,"cond21"
6951,"cond16"
6953,"cond16"
6955,"cond16"
6960,"cond22"
6967,"cond16"
6971,"cond15"
6974,"cond16"
6975,"cond21"
6976,"cond16"
6978,"cond15"
6989,"cond16"
6991,"cond16"
